Item_ID,Item_Name,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Natural_Gift_Power,Natural_Gift_Type,Pluck_Effect,SLP_Heal,PSN_Heal,BRN_Heal,FRZ_Heal,PRZ_Heal,HP_Restore,HP_Restore_Param,Shop_Locations,Given_At_Locations
149,ITEM_CHERI_BERRY,80,40,0,0,0,10,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,,
150,ITEM_CHESTO_BERRY,80,40,0,0,0,11,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
151,ITEM_PECHA_BERRY,80,40,0,0,0,13,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,ULURU 4 A1 (H#0346) | ULURU 4 A2 (H#0347) | ULURU 4 A3 (H#0350)
152,ITEM_RAWST_BERRY,80,40,0,0,0,12,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,,
153,ITEM_ASPEAR_BERRY,80,40,0,0,0,15,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,,
154,ITEM_LEPPA_BERRY,80,40,0,10,0,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
155,ITEM_ORAN_BERRY,80,40,0,10,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,,ULURU 4 A1 (H#0346) | ULURU 4 A2 (H#0347) | ULURU 4 A3 (H#0350)
156,ITEM_PERSIM_BERRY,80,40,0,0,0,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
157,ITEM_LUM_BERRY,80,40,0,0,0,2,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,,
158,ITEM_SITRUS_BERRY,80,40,0,25,0,14,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,253,,
159,ITEM_FIGY_BERRY,80,40,0,8,0,6,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
160,ITEM_WIKI_BERRY,80,40,0,8,0,5,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
161,ITEM_MAGO_BERRY,80,40,0,8,0,7,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
162,ITEM_AGUAV_BERRY,80,40,0,8,0,16,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
163,ITEM_IAPAPA_BERRY,80,40,0,8,0,17,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
164,ITEM_RAZZ_BERRY,20,10,0,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
165,ITEM_BLUK_BERRY,20,10,0,0,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
166,ITEM_NANAB_BERRY,20,10,0,0,0,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
167,ITEM_WEPEAR_BERRY,20,10,0,0,0,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
168,ITEM_PINAP_BERRY,20,10,0,0,0,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
169,ITEM_POMEG_BERRY,80,40,0,0,0,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
170,ITEM_KELPSY_BERRY,80,40,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
171,ITEM_QUALOT_BERRY,80,40,0,0,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
172,ITEM_HONDEW_BERRY,80,40,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
173,ITEM_GREPA_BERRY,80,40,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
174,ITEM_TAMATO_BERRY,80,40,0,0,0,14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
175,ITEM_CORNN_BERRY,20,10,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
176,ITEM_MAGOST_BERRY,20,10,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
177,ITEM_RABUTA_BERRY,20,10,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
178,ITEM_NOMEL_BERRY,20,10,0,0,0,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
179,ITEM_SPELON_BERRY,20,10,0,0,0,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
