Item_ID,Item_Name,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Shop_Locations,Given_At_Locations
1,ITEM_MASTER_BALL,0,0,0,0,,
2,ITEM_ULTRA_BALL,800,400,0,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 5 badges),
3,ITEM_GREAT_BALL,600,300,0,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 3 badges),
4,ITEM_POKE_BALL,200,100,0,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 0 badges),ULURU 2 A1 (H#0315) | ULURU 2 A2 (H#0316)
5,ITEM_SAFARI_BALL,0,0,0,0,,
6,ITEM_NET_BALL,1000,500,0,0,LOBA 03 PM02 (H#0059) [Violet City Mart] | LOBA 03 PM02 (H#0059) [Ecruteak Mart] | MELT 03 PM03 (H#0110) [Violet City Mart] | DANB 04 PM04 (H#0140) [Violet City Mart] | DANB 04 PM04 (H#0140) [Azalea City Mart] | BAIR 03 PM05 (H#0253) [Violet City Mart] | BAIR 03 PM05 (H#0253) [Olivine Mart] | SHED 03 PM06 (H#0282) [Violet City Mart] | SHED 03 PM06 (H#0282) [Blackthorn And Battle Frontier Mart] | DALI 03 PM07 (H#0302) [Violet City Mart] | RADE 04 PM08 (H#0359) [Violet City Mart] | TROO 04 PM09 (H#0413) [Violet City Mart] | T03FS0101 (H#0474) [Violet City Mart] | T08FS0101 (H#0478) [Violet City Mart] | D32FS0101 (H#0530) [Violet City Mart] | D32FS0101 (H#0530) [Blackthorn And Battle Frontier Mart],
7,ITEM_DIVE_BALL,1000,500,0,0,,
8,ITEM_NEST_BALL,1000,500,0,0,DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | T03FS0101 (H#0474) [Pewter Mart],
9,ITEM_REPEAT_BALL,1000,500,0,0,,
10,ITEM_TIMER_BALL,1000,500,0,0,,
11,ITEM_LUXURY_BALL,3000,1500,0,0,,
12,ITEM_PREMIER_BALL,20,10,0,0,,
13,ITEM_DUSK_BALL,1000,500,0,0,SHED 03 PM06 (H#0282) [Blackthorn And Battle Frontier Mart] | DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | RADE 04 PM08 (H#0359) [Saffron Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | T08FS0101 (H#0478) [Fuschia Mart] | D32FS0101 (H#0530) [Blackthorn And Battle Frontier Mart],
14,ITEM_HEAL_BALL,300,150,0,0,HAMP 03 PM01 (H#0026) [Cherrygrove City Mart] | LOBA 03 PM02 (H#0059) [Violet City Mart] | LOBA 03 PM02 (H#0059) [Ecruteak Mart] | MELT 03 PM03 (H#0110) [Violet City Mart] | DANB 04 PM04 (H#0140) [Violet City Mart] | DANB 04 PM04 (H#0140) [Azalea City Mart] | BAIR 03 PM05 (H#0253) [Violet City Mart] | BAIR 03 PM05 (H#0253) [Olivine Mart] | SHED 03 PM06 (H#0282) [Violet City Mart] | DALI 03 PM07 (H#0302) [Violet City Mart] | RADE 04 PM08 (H#0359) [Violet City Mart] | TROO 04 PM09 (H#0413) [Violet City Mart] | T03FS0101 (H#0474) [Violet City Mart] | T08FS0101 (H#0478) [Violet City Mart] | D32FS0101 (H#0530) [Violet City Mart],
15,ITEM_QUICK_BALL,1000,500,0,0,DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | RADE 04 PM08 (H#0359) [Saffron Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | TROO 04 PM09 (H#0413) [Cerulean Mart] | T03FS0101 (H#0474) [Pewter Mart] | T08FS0101 (H#0478) [Fuschia Mart],
16,ITEM_CHERISH_BALL,200,100,0,0,,T08R0201 (H#0479)
492,ITEM_FAST_BALL,300,150,0,0,,
493,ITEM_LEVEL_BALL,300,150,0,0,,
494,ITEM_LURE_BALL,300,150,0,0,,SYDT 02 PC05 (H#0165)
495,ITEM_HEAVY_BALL,300,150,0,0,,
496,ITEM_LOVE_BALL,300,150,0,0,,
497,ITEM_FRIEND_BALL,300,150,0,0,,
498,ITEM_MOON_BALL,300,150,0,0,,
499,ITEM_SPORT_BALL,300,150,0,0,,
500,ITEM_PARK_BALL,0,0,0,0,,
576,ITEM_DREAM_BALL,0,0,0,0,,
851,ITEM_BEAST_BALL,0,0,0,0,,
