Item_ID,Item_Name,Pocket,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Fling_Power,Fling_Effect,Natural_Gift_Power,Natural_Gift_Type,Prevent_Toss,Selectable,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
1,ITEM_MASTER_BALL,Poké Balls,0,0,0,0,0,0,0,31,FALSE,FALSE,0,1,,
2,ITEM_ULTRA_BALL,Poké Balls,800,400,0,0,0,0,0,31,FALSE,FALSE,0,1,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 5 badges),
3,ITEM_GREAT_BALL,Poké Balls,600,300,0,0,0,0,0,31,FALSE,FALSE,0,1,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 3 badges),
4,ITEM_POKE_BALL,Poké Balls,200,100,0,0,0,0,0,31,FALSE,FALSE,0,1,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 0 badges),ULURU 2 A1 (H#0315) | ULURU 2 A2 (H#0316)
5,ITEM_SAFARI_BALL,Poké Balls,0,0,0,0,0,0,0,31,FALSE,FALSE,0,1,,
6,ITEM_NET_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,LOBA 03 PM02 (H#0059) [Violet City Mart] | LOBA 03 PM02 (H#0059) [Ecruteak Mart] | MELT 03 PM03 (H#0110) [Violet City Mart] | DANB 04 PM04 (H#0140) [Violet City Mart] | DANB 04 PM04 (H#0140) [Azalea City Mart] | BAIR 03 PM05 (H#0253) [Violet City Mart] | BAIR 03 PM05 (H#0253) [Olivine Mart] | SHED 03 PM06 (H#0282) [Violet City Mart] | SHED 03 PM06 (H#0282) [Blackthorn And Battle Frontier Mart] | DALI 03 PM07 (H#0302) [Violet City Mart] | RADE 04 PM08 (H#0359) [Violet City Mart] | TROO 04 PM09 (H#0413) [Violet City Mart] | T03FS0101 (H#0474) [Violet City Mart] | T08FS0101 (H#0478) [Violet City Mart] | D32FS0101 (H#0530) [Violet City Mart] | D32FS0101 (H#0530) [Blackthorn And Battle Frontier Mart],
7,ITEM_DIVE_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,,
8,ITEM_NEST_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | T03FS0101 (H#0474) [Pewter Mart],
9,ITEM_REPEAT_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,,
10,ITEM_TIMER_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,,
11,ITEM_LUXURY_BALL,Poké Balls,3000,1500,0,0,0,0,0,31,FALSE,FALSE,0,1,,
12,ITEM_PREMIER_BALL,Poké Balls,20,10,0,0,0,0,0,31,FALSE,FALSE,0,1,,
13,ITEM_DUSK_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,SHED 03 PM06 (H#0282) [Blackthorn And Battle Frontier Mart] | DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | RADE 04 PM08 (H#0359) [Saffron Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | T08FS0101 (H#0478) [Fuschia Mart] | D32FS0101 (H#0530) [Blackthorn And Battle Frontier Mart],
