SpeciesId	Type1	Type2	HP	Atk	Def	Sp.Atk	Sp.Def	Spd	BST	EvMin	EvMax
SPECIES_WISHIWASHI	Water		45	20	20	25	25	40	175	2	35
SPECIES_MAGIKARP	Water		20	10	55	15	20	80	200	2	20
SPECIES_FEEBAS	Water		20	15	20	10	55	80	200	2	35
SPECIES_SURSKIT	Bug	Water	40	30	32	50	52	65	269	2	25
SPECIES_WINGULL	Water	Flying	40	30	30	55	30	85	270	2	28
SPECIES_BARBOACH	Water	Ground	50	48	43	46	41	60	288	3	33
SPECIES_SPHEAL	Ice	Water	70	40	50	55	50	25	290	5	35
SPECIES_TYMPOLE	Water		50	50	40	50	40	64	294	2	28
SPECIES_HORSEA	Water		30	40	70	70	25	60	295	5	35
SPECIES_POLIWAG	Water		40	50	40	40	40	90	300	2	28
SPECIES_REMORAID	Water		35	65	35	65	35	65	300	2	28
SPECIES_MAREANIE	Poison	Water	50	53	62	43	52	45	305	11	41
SPECIES_SHELLDER	Water		30	65	100	45	25	40	305	2	35
SPECIES_CARVANHA	Water	Dark	45	90	20	65	20	65	305	3	33
SPECIES_DUCKLETT	Water	Flying	62	44	50	44	50	55	305	8	38
SPECIES_GOLDEEN	Water		45	67	60	35	50	63	320	6	36
SPECIES_SKRELP	Poison	Water	50	60	60	60	60	30	320	21	51
SPECIES_SEEL	Water		65	45	55	45	70	45	325	7	37
SPECIES_CHINCHOU	Water	Electric	75	38	38	56	56	67	330	2	30
SPECIES_LUVDISC	Water		43	30	55	40	65	97	330	2	35
SPECIES_FINNEON	Water		49	49	56	49	61	66	330	4	34
SPECIES_CLAUNCHER	Water		50	53	62	58	63	44	330	10	40
SPECIES_TENTACOOL	Water	Poison	40	40	35	50	100	70	335	3	33
SPECIES_FRILLISH	Water	Ghost	55	40	50	65	85	40	335	2	35
SPECIES_STARYU	Water		30	45	55	70	55	85	340	2	35
SPECIES_CLAMPERL	Water		35	64	85	74	55	32	345	2	35
SPECIES_MANTYKE	Water	Flying	45	20	50	60	120	50	345	2	35
SPECIES_PALPITOAD	Water	Ground	75	65	55	65	55	69	384	25	39
SPECIES_POLIWHIRL	Water		65	65	65	50	50	90	385	25	50
SPECIES_WAILMER	Water		130	70	35	70	35	60	400	13	43
SPECIES_PYUKUMUKU	Water		55	60	130	30	130	5	410	2	35
SPECIES_CORSOLA	Water	Rock	65	55	95	65	95	35	410	2	35
SPECIES_SEALEO	Ice	Water	90	60	70	75	70	45	410	32	47
SPECIES_SEADRA	Water		55	65	95	95	45	85	440	32	57
SPECIES_QWILFISH	Water	Poison	65	95	85	55	55	85	440	30	55
SPECIES_PELIPPER	Water	Flying	60	50	100	95	70	65	440	25	50
SPECIES_SEAKING	Water		80	92	65	65	80	68	450	33	70
SPECIES_PALAFIN	Water		100	70	72	53	62	100	457	38	70
SPECIES_LANTURN	Water	Electric	125	58	58	76	76	67	460	27	70
SPECIES_SHARPEDO	Water	Dark	70	120	40	95	40	95	460	30	70
SPECIES_LUMINEON	Water		69	69	76	69	86	91	460	31	70
SPECIES_BASCULIN	Water		70	92	65	80	55	98	460	30	55
SPECIES_WHISCASH	Water	Ground	110	78	73	76	71	60	468	30	70
SPECIES_ALOMOMOLA	Water		165	75	80	40	45	65	470	35	60
SPECIES_SWANNA	Water	Flying	75	87	63	87	63	98	473	35	70
SPECIES_TATSUGIRI	Dragon	Water	68	50	60	120	95	82	475	35	60
SPECIES_TATSUGIRI_DROOPY	Dragon	Water	68	50	60	120	95	82	475	35	60
SPECIES_TATSUGIRI_STRETCHY	Dragon	Water	68	50	60	120	95	82	475	35	60
SPECIES_DEWGONG	Water	Ice	90	70	80	70	95	70	475	34	70
SPECIES_BRUXISH	Water	Psychic	68	105	70	70	70	92	475	35	60
SPECIES_CRAMORANT	Flying	Water	70	85	55	85	95	85	475	35	60
SPECIES_OCTILLERY	Water		75	105	75	105	75	45	480	25	70
SPECIES_JELLICENT	Water	Ghost	100	60	70	85	105	60	480	35	60
SPECIES_MANTINE	Water	Flying	85	40	70	80	140	70	485	35	60
SPECIES_HUNTAIL	Water		55	104	105	94	75	52	485	35	60
SPECIES_GOREBYSS	Water		55	84	105	114	75	52	485	35	60
SPECIES_RELICANTH	Water	Rock	100	90	130	45	65	55	485	35	60
SPECIES_DRAGALGE	Poison	Dragon	65	75	90	97	123	44	494	48	70
SPECIES_TOXAPEX	Poison	Water	50	63	152	53	142	35	495	38	70
SPECIES_POLITOED	Water		90	75	75	90	100	70	500	50	70
SPECIES_WAILORD	Water		170	90	45	90	45	60	500	40	70
SPECIES_CLAWITZER	Water		71	73	88	120	89	59	500	37	70
SPECIES_GOLDUCK	Water		80	82	78	95	80	85	500	33	70
SPECIES_SEISMITOAD	Water	Ground	105	95	75	85	75	74	509	36	70
SPECIES_POLIWRATH	Water	Fighting	90	95	95	70	90	70	510	50	70
SPECIES_TENTACRUEL	Water	Poison	80	70	65	80	120	100	515	30	70
SPECIES_STARMIE	Water	Psychic	60	75	85	100	85	115	520	42	60
SPECIES_CLOYSTER	Water	Ice	50	95	180	85	45	70	525	42	60
SPECIES_WALREIN	Ice	Water	110	80	90	95	90	65	530	44	70
SPECIES_BASCULEGION_FEMALE	Water	Ghost	120	112	65	80	75	78	530	42	60
SPECIES_BASCULEGION	Water	Ghost	120	112	65	80	75	78	530	42	60
SPECIES_LAPRAS	Water	Ice	130	85	80	85	95	60	535	42	60
SPECIES_GYARADOS	Water	Flying	95	125	79	60	100	81	540	20	70
SPECIES_KINGDRA	Water	Dragon	75	95	95	95	95	85	540	42	60
SPECIES_MILOTIC	Water		95	60	79	100	125	81	540	42	60
