archive_file,maps_using_archive,key,entry_count,longest_entry_len,has_control_codes,first_entry_preview
0000,-; -; -; -; -; -; -,0xFEE8,12,162,yes,EXIT
0001,,0x9140,48,251,yes,CANCEL
0002,,0xC48B,6,90,no,Quit
0003,EVERYWHERE; NOTHING; UG; DIRECT2; DIRECT4; D24; HAMP 02 PCR01; HAMP 04 HS05; LUGIA DEN 02; HO-OH TWR F2; LOBA 02 PCR02; BOAT 04; BOAT 05; SANDSTONE COV; MELT 02 PCR03; MELT 10 HS12; DANB 03 PCR04; DANB 08 HS15; SYDT 03 PCR05; SYDT TWR F1; SYDT TWR F2; SYDT TWR F3; SYDT TWR F4; SYDT TWR F5; SYDT TWR F6; LIGHT H 01 F2; LIGHT H 01 F3; LIGHT H 01 F4; LIGHT H 01 F5; LIGHT H 01 F6; BAIR 02 PCR07; SHED 02 PCR08; DALI 02 PCR09; RADE 03 PCR10; TROO 03 PCR11; D11R0105; D11R0107; D41R0102; D41R0103; D41R0104; D41R0105; D41R0106; D41R0107; R05R0101; R06R0101; T03PC0102; R10PC0102; T08PC0102; D40R0106; D22R0103; T05PC0102; T04PC0102; T31PC0102; T25R0503; FREE; D32PC0102; D47PC0102; R00; T10R0801; TEST1; TEST2; NEWMAP; NEWMAP; NEWMAP,0xD358,2769,67,yes,used -!
0004,,0x3AD4,6,225,yes,PLAYER:
0005,,0xB6F3,49,77,yes,HP/PP
0006,,0x0FA3,96,77,yes,
0007,,0x764F,3,153,no,Delete all saved data?
0008,,0x868A,2,115,no,The save data could not be accessed.  Please turn the power off and reinsert the DS Game Card.
0009,,0xADCA,2,137,no,The save data could not be accessed.  Please turn the power off and reinsert the DS Game Card.
0010,,0xD25B,129,76,yes,USE
0011,,0xD21D,20,42,no,EDIT
0012,,0x9E3D,14,52,no,4 3 2 1 0
0013,,0x1088,331,104,yes,BATTLE VIDEOS
0014,,0x3802,28,136,yes,Please take your designated position and start the battle.
0015,,0xD8D3,80,12,no,Heart Seal A
0016,,0x6255,80,13,no,Heart Seal As
0017,,0x443B,8,252,yes,A Recruitment Message arrived from a Pokémon Ranger.  You may receive a MANAPHY Egg from the Pokémon Ranger!  On the nex
0018,,0x6100,35,173,yes,Which facility would you like to challenge?
0019,,0x39F1,83,52,yes,Which record would you like to see?
0020,,0x79A4,8,76,no,It’s lined with Pokémon picture books.
0021,,0xD15A,133,313,yes,Apricorn Box
0022,,0xE9CD,32,175,yes,Performance
0023,,0xEEE4,8,139,yes,It’s an Apricorn Tree!
0024,,0xD15F,114,178,yes,
0025,,0x2907,61,39,yes,is selected.
0026,,0x28F8,163,68,yes,No. of Hall of Fame entries
0027,,0x6785,315,7,no,Jim
0028,,0x300B,35,79,yes,
0029,,0x0008,8,61,yes,Caught !
0030,,0x1EAE,11,200,yes,"Hello, just when you least expect it! I am Cameron the Photographer. You look so photogenic! Why not have a picture take"
0031,,0x3962,108,93,yes,
0032,,0xB943,58,461,yes,"Welcome to the Battle Castle. My name is Darach. I will be your host on behalf of Lady Caitlin, the owner of the castle."
0033,,0x2737,96,93,yes,
0034,,0xA69C,25,7,no,Hardy
0035,,0xA8F9,73,175,no,
0036,,0xE905,21,257,no,
0037,,0x59B5,12,3,no,
0038,,0xE933,7,35,no,Please enter the Friend Code.
0039,,0x81FE,48,955,yes,VOLTORB Flip Lv.
0040,,0xD75B,102,369,yes,"Hello, and welcome to the Pokémon Center. We restore your tired Pokémon to full health. Would you like to rest your Poké"
0041,,0x6EB8,10,320,yes,
0042,,0x5626,1,8,no,
0043,,0xEEB2,220,281,no,
0044,,0x5F5C,7,11,no,sleep
0045,,0xB90F,60,22,yes,OPTIONS
0046,,0x5E05,173,680,yes,Welcome to the Pokémon Communication Club Colosseum. You may battle with your friends here.
0047,WELL CAVE F3,0x2402,19,263,yes,A bunch of DIGLETT popped out of the ground! That was surprising!
0048,RADE F1 LIBRY; D02FS0101,0xCB10,2,82,yes,"When the sun goes down, CLEFAIRY come out to play."
0049,NAVEL WEST 04,0x1402,2,347,yes,": Hey, ! You’re here in Kanto, too? Some of the Trainers here are tough, which makes it easy to train\fmy Pokémon! ! I k"
0050,D HQ1 F1,0x140A,2,75,no,This is Mt. Moon Square. Please don’t litter. Put trash where it belongs!
0051,D HQ1 F2; D HQ1 F3,0x1416,6,110,yes,CLEFAIRY: Pip Pip!
0052,ICE PATH C1; ICE PATH C2; ICE PATH C3,0xB423,11,100,yes,"You haven’t caught all your Pokémon yet, but... Would you like to retire from your Catching Show?"
0053,D HQ1 F4; D HQ1 F5; D11R0106,0xA43F,26,291,yes,"Blaine: Hey, you! My Gym on Cinnabar Island was burned down by the eruption! But I will not give up! Take a look at this"
