command,total_uses
JumpIf,7140
End,6993
CompareVarValue,6869
Message,5172
SetVar,4476
Jump,4444
CloseMessage,3929
ReleaseAll,3723
Movement,3487
WaitButton,2498
PlayFanfare,2045
WaitMovement,2039
LockAll,1909
FadeScreen,1604
WaitFadeScreen,1596
SetFlag,1486
FacePlayer,1350
CreateMultiTouchBox,1309
UseScript_#1,994
ClearFlag,841
Return,726
CommonScript,714
CheckFlag,697
WalkNorth8,649
CloseTouchScreen,641
Call,582
OpenTouchScreen,581
LockFollowingPoke,546
WaitFollowingPoke,533
SetFollowingPokeMovement,532
CallIf,483
RemoveOW,483
TextPlayerName,460
WalkWest8,451
WalkEast8,430
YesNoTouchScreen,426
WalkSouth8,390
Warp,383
SetVarFromVariable,360
GetCommonMessageArchive,358
WaitTime,341
WalkOnSpotSouth8,325
Delay8,317
MessageFromArchive,307
FaceSouth,303
SetOWPosition,299
CloseMultiTouch,272
MecScript,256
FaceNorth,253
FaceEast,238
FaceWest,233
CheckBattleIsLost,223
CheckItemSpace,212
WaitSound,211
GenderMessage,211
WalkOnSpotNorth8,203
ReturnScreen,201
PlaySound,201
MultiTouchStandardText,189
PlayCry,186
IncrementVar,183
EmoteExclamation,181
WaitCry,164
WalkOnSpotWest8,162
GetPlayerDirection,160
WalkOnSpotEast8,158
TrainerBattle,157
SetInvisible,150
UnionGroup,149
Delay2,144
TextItem,136
WaitFanfare,133
ShowBoard,130
WaitBoard,128
TakePhoto,127
CheckPokemonAlive,115
GetPlayerPosition,111
WalkEast4,103
WalkWest4,101
CMD_412,101
Delay4,100
GetItemPocket,97
LockDir,97
WalkNorth4,96
GetDayOfWeek,93
TextNumber,91
TextPocket,90
WalkSouth4,90
ReleaseDir,90
LostBattle,89
AddMultiOption,88
GiveItem,82
GetPartyPokemonID,81
SetTextBoard,81
BoardMessage,81
Delay16,80
UpdateSpecialCurrency,76
Lock,76
CheckBadge,75
AddOW,75
OverlayManager,74
TextPokeNickname,74
TakeCoins,74
TextPokemon,73
CheckItem,72
MultiTouchLocalText,71
GetCoins,71
CheckVersion,67
MessageFlex,66
LocalScript,64
HideMoney,64
WaitAB,60
Release,60
StopMusic,59
VanishOverworld,58
Delay1,58
GetPartyCount,56
CheckAlbumPhoto,56
WildBattleSp,56
GetFirstAlivePokemonSlot,54
TextRivalName,53
CMD_490,52
FreezeMessage,52
CMD_257,51
CheckPokegearNumberRegistered,50
CompareVars,49
CheckPokeGearRematch,48
CloseBoard,47
GiveBadge,47
DoorAnimation,46
SetIconBoard,46
CheckPokemonIsSeen,45
CMD_267,43
HealPokemon,42
PlayMusic,42
AddTrainerScore,41
WalkEast2,39
CutAnimation,39
SetTrainerFlag,38
OpenVoltorbFlip,38
BallResetFollowingPoke,37
EndWirelessComms,37
GetOWPosition,37
GetSelectedPartySlot,35
CMD_815,35
GetHour,35
CompareMoney,35
TakeMoney,35
CMD_724,35
WaitDoor,34
WalkSouth6,34
GetRandom,34
WalkSouth2,32
TextPartyPokemon,32
GivePokemon,32
HiddenMachineEffect,32
SendBackFollowingPoke,31
RecordPokegearNumber,31
WalkNorth16,31
WalkWest2,31
SetWarpPosition,29
SetVisible,28
SetPlayerForm,27
WalkNorth2,27
UpdatePlayerForm,26
CMD_758,26
