Item_ID,Item_Name,Pocket
1,ITEM_MASTER_BALL,Poké Balls
5,ITEM_SAFARI_BALL,Poké Balls
7,ITEM_DIVE_BALL,Poké Balls
9,ITEM_REPEAT_BALL,Poké Balls
10,ITEM_TIMER_BALL,Poké Balls
11,ITEM_LUXURY_BALL,Poké Balls
12,ITEM_PREMIER_BALL,Poké Balls
29,ITEM_MAX_REVIVE,Medicine
33,ITEM_MOOMOO_MILK,Medicine
34,ITEM_ENERGY_POWDER,Medicine
35,ITEM_ENERGY_ROOT,Medicine
36,ITEM_HEAL_POWDER,Medicine
37,ITEM_REVIVAL_HERB,Medicine
39,ITEM_MAX_ETHER,Medicine
40,ITEM_ELIXIR,Medicine
41,ITEM_MAX_ELIXIR,Medicine
42,ITEM_LAVA_COOKIE,Medicine
43,ITEM_BERRY_JUICE,Medicine
51,ITEM_PP_UP,Medicine
53,ITEM_PP_MAX,Medicine
54,ITEM_OLD_GATEAU,Medicine
64,ITEM_FLUFFY_TAIL,Battle Items
65,ITEM_BLUE_FLUTE,Battle Items
66,ITEM_YELLOW_FLUTE,Battle Items
67,ITEM_RED_FLUTE,Battle Items
68,ITEM_BLACK_FLUTE,Items
69,ITEM_WHITE_FLUTE,Items
70,ITEM_SHOAL_SALT,Items
71,ITEM_SHOAL_SHELL,Items
72,ITEM_RED_SHARD,Items
73,ITEM_BLUE_SHARD,Items
74,ITEM_YELLOW_SHARD,Items
75,ITEM_GREEN_SHARD,Items
80,ITEM_SUN_STONE,Items
81,ITEM_MOON_STONE,Items
82,ITEM_FIRE_STONE,Items
83,ITEM_THUNDER_STONE,Items
84,ITEM_WATER_STONE,Items
85,ITEM_LEAF_STONE,Items
86,ITEM_TINY_MUSHROOM,Items
87,ITEM_BIG_MUSHROOM,Items
88,ITEM_PEARL,Items
89,ITEM_BIG_PEARL,Items
90,ITEM_STARDUST,Items
91,ITEM_STAR_PIECE,Items
93,ITEM_HEART_SCALE,Items
94,ITEM_HONEY,Items
95,ITEM_GROWTH_MULCH,Items
96,ITEM_DAMP_MULCH,Items
97,ITEM_STABLE_MULCH,Items
98,ITEM_GOOEY_MULCH,Items
99,ITEM_ROOT_FOSSIL,Items
100,ITEM_CLAW_FOSSIL,Items
101,ITEM_HELIX_FOSSIL,Items
102,ITEM_DOME_FOSSIL,Items
103,ITEM_OLD_AMBER,Items
104,ITEM_ARMOR_FOSSIL,Items
105,ITEM_SKULL_FOSSIL,Items
106,ITEM_RARE_BONE,Items
107,ITEM_SHINY_STONE,Items
108,ITEM_DUSK_STONE,Items
109,ITEM_DAWN_STONE,Items
110,ITEM_OVAL_STONE,Items
111,ITEM_ODD_KEYSTONE,Items
112,ITEM_GRISEOUS_ORB,Items
113,ITEM_TEA,Key Items
114,ITEM_UNKNOWN_72,Items
115,ITEM_AUTOGRAPH,Key Items
116,ITEM_DOUSE_DRIVE,Items
117,ITEM_SHOCK_DRIVE,Items
118,ITEM_BURN_DRIVE,Items
119,ITEM_CHILL_DRIVE,Items
120,ITEM_UNKNOWN_78,Items
