Index,C_Name,Label,Items
0,sCherrygroveCityMart,Cherrygrove City Mart,ITEM_AIR_MAIL | ITEM_HEAL_BALL
1,sVioletCityMart,Violet City Mart,ITEM_TUNNEL_MAIL | ITEM_HEAL_BALL | ITEM_NET_BALL
2,sAzaleaCityMart,Azalea City Mart,ITEM_BLOOM_MAIL | ITEM_HEAL_BALL | ITEM_NET_BALL
3,sGoldenrodDepartmentUpper2F,Goldenrod Department Upper2 F,ITEM_POTION | ITEM_SUPER_POTION | ITEM_HYPER_POTION | ITEM_MAX_POTION | ITEM_REVIVE | ITEM_ANTIDOTE | ITEM_PARALYZE_HEAL | ITEM_BURN_HEAL | ITEM_ICE_HEAL | ITEM_AWAKENING | ITEM_FULL_HEAL
4,sGoldenrodDepartmentLower2F,Goldenrod Department Lower2 F,ITEM_POKE_BALL | ITEM_GREAT_BALL | ITEM_ULTRA_BALL | ITEM_ESCAPE_ROPE | ITEM_POKE_DOLL | ITEM_REPEL | ITEM_SUPER_REPEL | ITEM_MAX_REPEL | ITEM_GRASS_MAIL | ITEM_FLAME_MAIL | ITEM_BUBBLE_MAIL | ITEM_SPACE_MAIL
5,sGoldenrodDepartment3F,Goldenrod Department3 F,ITEM_X_SPEED | ITEM_X_ATTACK | ITEM_X_DEFENSE | ITEM_GUARD_SPEC | ITEM_DIRE_HIT | ITEM_X_ACCURACY | ITEM_X_SP_ATK | ITEM_X_SP_DEF
6,sGoldenrodDepartment4F,Goldenrod Department4 F,ITEM_PROTEIN | ITEM_IRON | ITEM_CALCIUM | ITEM_ZINC | ITEM_CARBOS | ITEM_HP_UP
7,sGoldenrodDepartment5F,Goldenrod Department5 F,ITEM_TM070 | ITEM_TM017 | ITEM_TM054 | ITEM_TM083 | ITEM_TM016 | ITEM_TM033 | ITEM_TM022 | ITEM_TM052 | ITEM_TM038 | ITEM_TM025 | ITEM_TM014 | ITEM_TM015
8,sGoldenrodHerbs,Goldenrod Herbs,ITEM_HEAL_POWDER | ITEM_ENERGY_POWDER | ITEM_ENERGY_ROOT | ITEM_REVIVAL_HERB
9,sEcruteakMart,Ecruteak Mart,ITEM_HEART_MAIL | ITEM_HEAL_BALL | ITEM_NET_BALL
10,sOlivineMart,Olivine Mart,ITEM_HEART_MAIL | ITEM_HEAL_BALL | ITEM_NET_BALL
11,sCianwoodPharmacy,Cianwood Pharmacy,ITEM_POTION | ITEM_SUPER_POTION | ITEM_HYPER_POTION | ITEM_FULL_HEAL | ITEM_REVIVE
12,sBlackthornAndBattleFrontierMart,Blackthorn And Battle Frontier Mart,ITEM_AIR_MAIL | ITEM_NET_BALL | ITEM_DUSK_BALL
13,sIndigoPlateau,Indigo Plateau,ITEM_ULTRA_BALL | ITEM_MAX_REPEL | ITEM_HYPER_POTION | ITEM_MAX_POTION | ITEM_FULL_RESTORE | ITEM_REVIVE | ITEM_FULL_HEAL
14,sVermilionAndSafariMart,Vermilion And Safari Mart,ITEM_AIR_MAIL | ITEM_NEST_BALL | ITEM_DUSK_BALL | ITEM_QUICK_BALL
15,sSaffronMart,Saffron Mart,ITEM_AIR_MAIL | ITEM_DUSK_BALL | ITEM_QUICK_BALL
16,sLavenderMart,Lavender Mart,ITEM_AIR_MAIL | ITEM_DUSK_BALL | ITEM_QUICK_BALL
17,sCeruleanMart,Cerulean Mart,ITEM_AIR_MAIL | ITEM_QUICK_BALL
18,sCeladonDepartmentUpper2F,Celadon Department Upper2 F,ITEM_POTION | ITEM_SUPER_POTION | ITEM_HYPER_POTION | ITEM_MAX_POTION | ITEM_REVIVE | ITEM_ANTIDOTE | ITEM_PARALYZE_HEAL | ITEM_BURN_HEAL | ITEM_ICE_HEAL | ITEM_AWAKENING | ITEM_FULL_HEAL
19,sCeladonDepartmentLower2F,Celadon Department Lower2 F,ITEM_POKE_BALL | ITEM_GREAT_BALL | ITEM_ULTRA_BALL | ITEM_ESCAPE_ROPE | ITEM_POKE_DOLL | ITEM_REPEL | ITEM_SUPER_REPEL | ITEM_MAX_REPEL | ITEM_GRASS_MAIL | ITEM_FLAME_MAIL | ITEM_BUBBLE_MAIL | ITEM_SPACE_MAIL
20,sCeladonDepartment3F,Celadon Department3 F,ITEM_TM021 | ITEM_TM027 | ITEM_TM087 | ITEM_TM078 | ITEM_TM012 | ITEM_TM041 | ITEM_TM020 | ITEM_TM028 | ITEM_TM076 | ITEM_TM055 | ITEM_TM072 | ITEM_TM079
21,sCeladonDepartment4F,Celadon Department4 F,ITEM_AIR_MAIL | ITEM_TUNNEL_MAIL | ITEM_BLOOM_MAIL
22,sCeladonDepartmentLeft5F,Celadon Department Left5 F,ITEM_X_SPEED | ITEM_X_ATTACK | ITEM_X_DEFENSE | ITEM_GUARD_SPEC | ITEM_DIRE_HIT | ITEM_X_ACCURACY | ITEM_X_SP_ATK | ITEM_X_SP_DEF
23,sCeladonDepartmentRight5F,Celadon Department Right5 F,ITEM_PROTEIN | ITEM_IRON | ITEM_CALCIUM | ITEM_ZINC | ITEM_CARBOS | ITEM_HP_UP
24,sFuschiaMart,Fuschia Mart,ITEM_STEEL_MAIL | ITEM_DUSK_BALL | ITEM_QUICK_BALL
25,sPewterMart,Pewter Mart,ITEM_STEEL_MAIL | ITEM_NEST_BALL | ITEM_QUICK_BALL
