BankId,Area,SurfRate,Slot1Species,Slot1Min,Slot1Max,Slot2Species,Slot2Min,Slot2Max,Slot3Species,Slot3Min,Slot3Max,Slot4Species,Slot4Min,Slot4Max,Slot5Species,Slot5Min,Slot5Max,HeadersUsed
0,ROUTE 1,15,TENTACOOL,2,3,DUCKLETT,2,4,SWANNA,2,4,DRAGALGE,3,5,TENTACRUEL,3,6,10;22
1,ROUTE 2 AREA 1,15,MAGIKARP,2,4,BARBOACH,3,5,PALPITOAD,3,5,WHISCASH,4,6,SEISMITOAD,4,7,23;30
2,ROUTE 2 AREA 2,15,BARBOACH,3,5,MAGIKARP,4,6,PALPITOAD,4,6,WHISCASH,5,7,SEISMITOAD,5,8,31
3,ROUTE 3 AREA 1,15,MAGIKARP,2,4,HORSEA,3,5,DEWGONG,3,5,LANTURN,4,6,CLAWITZER,4,7,39
4,ROUTE 3 AREA 2,15,CARVANHA,3,5,REMORAID,4,6,WHISCASH,4,6,DRAGALGE,5,7,WALREIN,5,8,40
5,NAVEL Generic,15,CARVANHA,4,6,MAGIKARP,5,7,SHARPEDO,5,7,JELLICENT,6,8,RELICANTH,6,9,32
6,NAVEL West,15,CORSOLA,4,6,MAGIKARP,5,7,JELLICENT,5,7,SHARPEDO,6,8,RELICANTH,6,9,33
7,NAVEL East,15,CARVANHA,4,6,FRILLISH,5,7,SHARPEDO,5,7,JELLICENT,6,8,RELICANTH,6,9,41
8,BLAZE FOREST,15,BARBOACH,4,6,MAGIKARP,5,7,PALPITOAD,5,7,WHISCASH,6,8,SEISMITOAD,6,9,43
9,Cave Generic 1,15,SHARPEDO,49,51,CORSOLA,50,52,JELLICENT,50,52,SHARPEDO,51,53,BASCULEGION,51,54,35;36;38;44;45;341
10,LOB FOREST 1,15,BARBOACH,5,7,MAGIKARP,6,8,WHISCASH,6,8,PALPITOAD,7,9,SEISMITOAD,7,10,47;259;263;264;265
11,LOB FOREST 2,15,BARBOACH,5,7,MAGIKARP,6,8,WHISCASH,6,8,PALPITOAD,7,9,SEISMITOAD,7,10,48;490
12,LOB FOREST 3,15,BARBOACH,5,7,MAGIKARP,6,8,WHISCASH,6,8,PALPITOAD,7,9,SEISMITOAD,7,10,49;492
13,LOB FOREST 4,15,MAGIKARP,5,7,BARBOACH,6,8,PALPITOAD,6,8,WHISCASH,7,9,SEISMITOAD,7,10,50;491
14,LOB FOREST 5,15,BARBOACH,6,8,MAGIKARP,7,9,WHISCASH,7,9,PALPITOAD,8,10,SEISMITOAD,8,11,51
15,LOB FOREST 6,15,MAGIKARP,6,8,BARBOACH,7,9,WHISCASH,7,9,PALPITOAD,8,10,SEISMITOAD,8,11,52
16,LOB FOREST 7,15,BARBOACH,6,8,MAGIKARP,7,9,WHISCASH,7,9,PALPITOAD,8,10,SEISMITOAD,8,11,53
17,LOB FOREST 8,15,MAGIKARP,6,8,BARBOACH,7,9,WHISCASH,7,9,PALPITOAD,8,10,SEISMITOAD,8,11,54;55
18,ROUTE 4,15,MAGIKARP,6,8,BARBOACH,7,9,PALPITOAD,7,9,WHISCASH,8,10,SEISMITOAD,8,11,56;81
19,ROUTE 5 AREA 1,15,MANTYKE,6,8,DUCKLETT,7,9,DRAGALGE,7,9,SWANNA,8,10,GYARADOS,8,11,78;83
20,ROUTE 5 AREA 2,15,WINGULL,7,9,MAREANIE,8,10,SWANNA,8,10,QWILFISH,9,11,TENTACRUEL,9,12,103
21,ROUTE 5 AREA 3,15,MAREANIE,8,10,DUCKLETT,9,11,MANTINE,9,11,PELIPPER,10,12,GYARADOS,10,13,106
22,ROUTE 5 AREA 4,15,DUCKLETT,8,10,SKRELP,9,11,MANTINE,9,11,PELIPPER,10,12,TOXAPEX,10,13,107;119
23,ROUTE 6 AREA 1,15,DUCKLETT,7,9,TENTACOOL,8,10,MANTINE,8,10,PELIPPER,9,11,GYARADOS,9,12,121
24,ROUTE 6 AREA 2,15,DUCKLETT,7,9,SKRELP,8,10,PELIPPER,8,10,CRAMORANT,9,11,GYARADOS,9,12,122;487
25,ROUTE 6 AREA 3,15,TENTACOOL,8,10,DUCKLETT,9,11,MANTINE,9,11,DRAGALGE,10,12,GYARADOS,10,13,123
26,ROUTE 6 AREA 4,15,MANTYKE,8,10,SKRELP,9,11,PELIPPER,9,11,QWILFISH,10,12,GYARADOS,10,13,124
27,SUB CAVE 1,15,MAGIKARP,8,10,FRILLISH,9,11,JELLICENT,9,11,SHARPEDO,10,12,RELICANTH,10,13,84
28,SUB CAVE 2,15,MAGIKARP,8,10,CORSOLA,9,11,SHARPEDO,9,11,JELLICENT,10,12,RELICANTH,10,13,7;85
29,SUB PATH 1,15,REMORAID,9,11,CORSOLA,10,12,LANTURN,10,12,SWANNA,11,13,WAILORD,11,14,86
30,SUB PATH 2,15,TYMPOLE,9,11,LUVDISC,10,12,TOXAPEX,10,12,RELICANTH,11,13,SEISMITOAD,11,14,87
31,SUB PATH 3,15,SEEL,9,11,CARVANHA,10,12,SEAKING,10,12,SHARPEDO,11,13,GYARADOS,11,14,88
32,SUB PATH 4,15,TYMPOLE,9,11,WAILMER,10,12,TATSUGIRI,10,12,RELICANTH,11,13,CLAWITZER,11,14,89
33,ROCK PASSAGE,15,CORSOLA,10,12,MAGIKARP,11,13,JELLICENT,11,13,SHARPEDO,12,14,RELICANTH,12,15,90
34,ICE PASSAGE,15,MAGIKARP,10,12,SPHEAL,11,13,DEWGONG,11,13,DEWGONG,12,14,WALREIN,12,15,91
35,STEEL PASSAGE,15,CORSOLA,10,12,MAGIKARP,11,13,JELLICENT,11,13,SHARPEDO,12,14,RELICANTH,12,15,92
36,SANSTONE CAVE,15,CARVANHA,10,12,FRILLISH,11,13,JELLICENT,11,13,SHARPEDO,12,14,RELICANTH,12,15,105
37,FISHERMAN,15,DUCKLETT,11,13,SKRELP,12,14,SEAKING,12,14,DEWGONG,13,15,WALREIN,13,16,
38,PALM TREE,15,TENTACOOL,14,16,SPHEAL,15,17,LANTURN,15,17,SHARPEDO,16,18,TENTACRUEL,16,19,
39,Cave Generic 2,15,MAGIKARP,11,13,CORSOLA,12,14,JELLICENT,12,14,SHARPEDO,13,15,RELICANTH,13,16,131;145;146
40,WAYDOWN CAVE,15,MAGIKARP,11,13,FRILLISH,12,14,JELLICENT,12,14,SHARPEDO,13,15,RELICANTH,13,16,147;148
41,ROUTE 7 AREA 1,15,MANTYKE,13,15,FRILLISH,14,16,SEAKING,14,16,TATSUGIRI,15,17,LAPRAS,15,18,129
42,ROUTE 7 AREA 2,15,PALPITOAD,13,15,FINNEON,14,16,PELIPPER,14,16,LANTURN,15,17,LAPRAS,15,18,130
43,ROUTE 7 AREA 3,15,REMORAID,14,16,PYUKUMUKU,15,17,CRAMORANT,15,17,BRUXISH,16,18,GYARADOS,16,19,134
44,ROUTE 7 AREA 4,15,CARVANHA,14,16,FRILLISH,15,17,ALOMOMOLA,15,17,WHISCASH,16,18,WAILORD,16,19,136
45,ROUTE 8 AREA 1,15,CARVANHA,15,17,WAILMER,16,18,RELICANTH,16,18,TOXAPEX,17,19,LAPRAS,17,20,150
46,ROUTE 8 AREA 2,15,CHINCHOU,15,17,FINNEON,16,18,OCTILLERY,16,18,SHARPEDO,17,19,GOLDUCK,17,20,151
47,ROUTE 8 AREA 3,15,DUCKLETT,17,19,MAREANIE,18,20,TOXAPEX,18,20,JELLICENT,19,21,GOLDUCK,19,22,161
48,ROUTE 8 AREA 4,15,PYUKUMUKU,17,19,FRILLISH,18,20,LUMINEON,18,20,TOXAPEX,19,21,CLAWITZER,19,22,162;486
49,VOLTIC CAVE 1,15,CORSOLA,17,19,FRILLISH,18,20,JELLICENT,18,20,SHARPEDO,19,21,RELICANTH,19,22,152
50,VOLTIC CAVE 2,15,CORSOLA,17,19,MAGIKARP,18,20,JELLICENT,18,20,SHARPEDO,19,21,RELICANTH,19,22,153
51,VOLTIC CAVE 3,15,FRILLISH,17,19,MAGIKARP,18,20,SHARPEDO,18,20,JELLICENT,19,21,RELICANTH,19,22,155
52,VOLTIC CAVE 4,15,CARVANHA,19,21,FRILLISH,20,22,JELLICENT,20,22,SHARPEDO,21,23,RELICANTH,21,24,156
53,VOLTIC CAVE 5,15,CARVANHA,19,21,FRILLISH,20,22,SHARPEDO,20,22,JELLICENT,21,23,RELICANTH,21,24,158
54,VOLTIC CAVE 6,15,MAGIKARP,19,21,CORSOLA,20,22,SHARPEDO,20,22,JELLICENT,21,23,RELICANTH,21,24,159
55,SYD FOREST 1,15,MAREANIE,20,22,SPHEAL,21,23,MANTINE,21,23,SEAKING,22,24,GOLDUCK,22,25,232
56,SYD FOREST 2,15,DUCKLETT,20,22,CHINCHOU,21,23,CRAMORANT,21,23,SEAKING,22,24,GOLDUCK,22,25,233
57,SYD FOREST 3,15,GOLDEEN,20,22,LUVDISC,21,23,LANTURN,21,23,SWANNA,22,24,CLAWITZER,22,25,234
58,SYD FOREST 4,15,SURSKIT,22,24,GOLDEEN,23,25,CRAMORANT,23,25,SEAKING,24,26,GOLDUCK,24,27,235
59,SYD FOREST 5,15,PYUKUMUKU,22,24,WAILMER,23,25,DEWGONG,23,25,JELLICENT,24,26,GOLDUCK,24,27,236
60,SYD FOREST 6,15,LUVDISC,22,24,SURSKIT,23,25,TOXAPEX,23,25,BRUXISH,24,26,WALREIN,24,27,237
61,SYD FOREST 7,15,PALPITOAD,23,25,SURSKIT,24,26,JELLICENT,24,26,SEALEO,25,27,LAPRAS,25,28,238
62,SYD FOREST 8,15,PALPITOAD,23,25,MAGIKARP,24,26,SEALEO,24,26,OCTILLERY,25,27,CLAWITZER,25,28,239
63,SYD FOREST 9,15,SKRELP,24,26,PALPITOAD,25,27,PALAFIN,25,27,RELICANTH,26,28,WALREIN,26,29,240
64,ROUTE 12 AREA 1,15,GOLDEEN,25,27,SEEL,26,28,CRAMORANT,26,28,TOXAPEX,27,29,TENTACRUEL,27,30,
65,ISLAND 1 AREA 1,15,SKRELP,23,25,TENTACOOL,24,26,PELIPPER,24,26,MANTINE,25,27,TOXAPEX,25,28,163
66,ISLAND 1 AREA 2,15,MAGIKARP,23,25,DUCKLETT,24,26,SWANNA,24,26,PELIPPER,25,27,TENTACRUEL,25,28,
67,ISLAND 1 AREA 3,15,MAREANIE,23,25,TENTACOOL,24,26,CRAMORANT,24,26,SWANNA,25,27,TENTACRUEL,25,28,
68,ISLAND 1 AREA 4,15,MAGIKARP,23,25,TENTACOOL,24,26,MANTINE,24,26,DRAGALGE,25,27,TENTACRUEL,25,28,
69,ISLAND 1 AREA 5,15,DUCKLETT,23,25,MANTYKE,24,26,CRAMORANT,24,26,PELIPPER,25,27,GYARADOS,25,28,
