BankId,Area,SurfRate,Slot1Species,Slot1Min,Slot1Max,Slot2Species,Slot2Min,Slot2Max,Slot3Species,Slot3Min,Slot3Max,Slot4Species,Slot4Min,Slot4Max,Slot5Species,Slot5Min,Slot5Max,HeadersUsed
0,ROUTE 1,15,KRABBY,2,3,WINGULL,2,4,CLAUNCHER,2,4,CORPHISH,3,5,CRAWDAUNT,3,6,10;22
1,ROUTE 2 AREA 1,15,PSYDUCK,2,4,TYMPOLE,3,5,SHELLOS,3,5,BUIZEL,4,6,POLIWHIRL,4,7,23;30
2,ROUTE 2 AREA 2,15,POLIWAG,3,5,MAGIKARP,4,6,BARBOACH,4,6,KRABBY,5,7,SEAKING,5,8,31
3,ROUTE 3 AREA 1,15,MAGIKARP,2,4,WOOPER,3,5,SHELLDER,3,5,BARBOACH,4,6,WHISCASH,4,7,39
4,ROUTE 3 AREA 2,15,WOOPER,3,5,POLIWAG,4,6,CHINCHOU,4,6,CLAMPERL,5,7,CRAWDAUNT,5,8,40
5,NAVEL Generic,15,WOOPER,4,6,BARBOACH,5,7,CORPHISH,5,7,CHINCHOU,6,8,LANTURN,6,9,32
6,NAVEL West,15,TYMPOLE,4,6,MAGIKARP,5,7,SHELLDER,5,7,CHINCHOU,6,8,LANTURN,6,9,33
7,NAVEL East,15,WOOPER,4,6,TYMPOLE,5,7,CHINCHOU,5,7,SHELLDER,6,8,QUAGSIRE,6,9,41
8,BLAZE FOREST,15,TYMPOLE,4,6,POLIWAG,5,7,CORPHISH,5,7,SHELLOS,6,8,QUAGSIRE,6,9,43
9,Cave Generic 1,15,WOOPER,49,51,FINNEON,50,52,SHELLDER,50,52,CHINCHOU,51,53,QUAGSIRE,51,54,35;36;38;44;45;341
10,LOB FOREST 1,15,GOLDEEN,5,7,CHEWTLE,6,8,CORPHISH,6,8,FINNEON,7,9,SEAKING,7,10,47;259;263;264;265
11,LOB FOREST 2,15,WOOPER,5,7,POLIWAG,6,8,CORPHISH,6,8,FINNEON,7,9,WHISCASH,7,10,48;490
12,LOB FOREST 3,15,WOOPER,5,7,CHEWTLE,6,8,SHELLOS,6,8,FINNEON,7,9,WHISCASH,7,10,49;492
13,LOB FOREST 4,15,MAGIKARP,5,7,CHEWTLE,6,8,BARBOACH,6,8,SHELLOS,7,9,WHISCASH,7,10,50;491
14,LOB FOREST 5,15,POLIWAG,6,8,CHEWTLE,7,9,KRABBY,7,9,FINNEON,8,10,SEAKING,8,11,51
15,LOB FOREST 6,15,GOLDEEN,6,8,CHEWTLE,7,9,FINNEON,7,9,BUIZEL,8,10,FLOATZEL,8,11,52
16,LOB FOREST 7,15,POLIWAG,6,8,PSYDUCK,7,9,FINNEON,7,9,CORPHISH,8,10,WHISCASH,8,11,53
17,LOB FOREST 8,15,MAGIKARP,6,8,POLIWAG,7,9,CORPHISH,7,9,KRABBY,8,10,GASTRODON,8,11,54;55
18,ROUTE 4,15,GOLDEEN,6,8,PSYDUCK,7,9,SHELLOS,7,9,BUIZEL,8,10,QUAGSIRE,8,11,56;81
19,ROUTE 5 AREA 1,15,STARYU,6,8,WINGULL,7,9,CORPHISH,7,9,ARROKUDA,8,10,OCTILLERY,8,11,78;83
20,ROUTE 5 AREA 2,15,TENTACOOL,7,9,FINNEON,8,10,CLAUNCHER,8,10,SHELLDER,9,11,OCTILLERY,9,12,103
21,ROUTE 5 AREA 3,15,FINNEON,8,10,WINGULL,9,11,CLAMPERL,9,11,CHINCHOU,10,12,FLOATZEL,10,13,106
22,ROUTE 5 AREA 4,15,WINGULL,8,10,REMORAID,9,11,CLAMPERL,9,11,CHINCHOU,10,12,LANTURN,10,13,107;119
23,ROUTE 6 AREA 1,15,WINGULL,7,9,KRABBY,8,10,CORPHISH,8,10,CLAMPERL,9,11,PELIPPER,9,12,121
24,ROUTE 6 AREA 2,15,WINGULL,7,9,REMORAID,8,10,CHINCHOU,8,10,SKRELP,9,11,CRAWDAUNT,9,12,122;487
25,ROUTE 6 AREA 3,15,KRABBY,8,10,WINGULL,9,11,CLAMPERL,9,11,CORPHISH,10,12,CRAWDAUNT,10,13,123
26,ROUTE 6 AREA 4,15,STARYU,8,10,REMORAID,9,11,CHINCHOU,9,11,SHELLDER,10,12,CRAWDAUNT,10,13,124
27,SUB CAVE 1,15,MAGIKARP,8,10,SHELLOS,9,11,CLAMPERL,9,11,FRILLISH,10,12,WHISCASH,10,13,84
28,SUB CAVE 2,15,SHELLOS,8,10,MAGIKARP,9,11,CORPHISH,9,11,SHELLDER,10,12,LANTURN,10,13,7;85
29,SUB PATH 1,15,WOOPER,9,11,KRABBY,10,12,BARBOACH,10,12,SHELLDER,11,13,CRAWDAUNT,11,14,86
30,SUB PATH 2,15,PSYDUCK,9,11,REMORAID,10,12,CLAMPERL,10,12,CORPHISH,11,13,OCTILLERY,11,14,87
31,SUB PATH 3,15,KRABBY,9,11,POLIWAG,10,12,CHINCHOU,10,12,BUIZEL,11,13,OCTILLERY,11,14,88
32,SUB PATH 4,15,PSYDUCK,9,11,KRABBY,10,12,SHELLDER,10,12,CLAMPERL,11,13,LANTURN,11,14,89
33,ROCK PASSAGE,15,TYMPOLE,10,12,MAGIKARP,11,13,SHELLDER,11,13,FRILLISH,12,14,CLOYSTER,12,15,90
34,ICE PASSAGE,15,SEEL,10,12,MAGIKARP,11,13,FINNEON,11,13,GOLDEEN,12,14,SEALEO,12,15,91
35,STEEL PASSAGE,15,TYMPOLE,10,12,MAGIKARP,11,13,SHELLDER,11,13,CORPHISH,12,14,QUAGSIRE,12,15,92
36,SANSTONE CAVE,15,SHELLOS,10,12,FINNEON,11,13,CORPHISH,11,13,SHELLDER,12,14,JELLICENT,12,15,105
37,FISHERMAN,15,WOOPER,11,13,FINNEON,12,14,BUIZEL,12,14,CORPHISH,13,15,FLOATZEL,13,16,
38,PALM TREE,15,REMORAID,14,16,PSYDUCK,15,17,BARBOACH,15,17,CHINCHOU,16,18,CRAWDAUNT,16,19,
39,Cave Generic 2,15,FINNEON,11,13,SHELLOS,12,14,FRILLISH,12,14,CHINCHOU,13,15,OCTILLERY,13,16,131;145;146
40,WAYDOWN CAVE,15,MAGIKARP,11,13,TYMPOLE,12,14,CLAMPERL,12,14,FRILLISH,13,15,LANTURN,13,16,147;148
41,ROUTE 7 AREA 1,15,REMORAID,13,15,KRABBY,14,16,CLAMPERL,14,16,BUIZEL,15,17,CLOYSTER,15,18,129
42,ROUTE 7 AREA 2,15,REMORAID,13,15,FINNEON,14,16,BUIZEL,14,16,CHINCHOU,15,17,CRAWDAUNT,15,18,130
43,ROUTE 7 AREA 3,15,WOOPER,14,16,FINNEON,15,17,CHINCHOU,15,17,CORPHISH,16,18,OCTILLERY,16,19,134
44,ROUTE 7 AREA 4,15,WOOPER,14,16,REMORAID,15,17,CHINCHOU,15,17,SHELLDER,16,18,OCTILLERY,16,19,136
45,ROUTE 8 AREA 1,15,WOOPER,15,17,KRABBY,16,18,CORPHISH,16,18,CLAMPERL,17,19,CLOYSTER,17,20,150
46,ROUTE 8 AREA 2,15,FINNEON,15,17,REMORAID,16,18,CLAMPERL,16,18,CORPHISH,17,19,OCTILLERY,17,20,151
47,ROUTE 8 AREA 3,15,WOOPER,17,19,POLIWAG,18,20,CLAMPERL,18,20,SHELLDER,19,21,WHISCASH,19,22,161
48,ROUTE 8 AREA 4,15,KRABBY,17,19,REMORAID,18,20,BARBOACH,18,20,CLAMPERL,19,21,LANTURN,19,22,162;486
49,VOLTIC CAVE 1,15,FINNEON,17,19,TYMPOLE,18,20,SHELLDER,18,20,CLAMPERL,19,21,OCTILLERY,19,22,152
50,VOLTIC CAVE 2,15,TYMPOLE,17,19,MAGIKARP,18,20,CLAMPERL,18,20,CHINCHOU,19,21,JELLICENT,19,22,153
51,VOLTIC CAVE 3,15,BARBOACH,17,19,MAGIKARP,18,20,FRILLISH,18,20,CHINCHOU,19,21,LANTURN,19,22,155
52,VOLTIC CAVE 4,15,SHELLOS,19,21,WOOPER,20,22,SHELLDER,20,22,CLAMPERL,21,23,QUAGSIRE,21,24,156
53,VOLTIC CAVE 5,15,FINNEON,19,21,SHELLOS,20,22,CORPHISH,20,22,FRILLISH,21,23,LANTURN,21,24,158
54,VOLTIC CAVE 6,15,SHELLOS,19,21,MAGIKARP,20,22,FRILLISH,20,22,CORPHISH,21,23,QUAGSIRE,21,24,159
55,SYD FOREST 1,15,POLIWAG,20,22,PSYDUCK,21,23,CORPHISH,21,23,BUIZEL,22,24,LANTURN,22,25,232
56,SYD FOREST 2,15,WOOPER,20,22,FINNEON,21,23,SHELLDER,21,23,BUIZEL,22,24,LANTURN,22,25,233
