Item_ID,Item_Name,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Fling_Power,Fling_Effect,Prevent_Toss,Selectable,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
68,ITEM_BLACK_FLUTE,400,200,0,50,30,0,FALSE,FALSE,19,0,,
69,ITEM_WHITE_FLUTE,500,250,0,150,30,0,FALSE,FALSE,19,0,,
70,ITEM_SHOAL_SALT,20,10,0,0,30,0,FALSE,FALSE,0,0,,
71,ITEM_SHOAL_SHELL,20,10,0,0,30,0,FALSE,FALSE,0,0,,
72,ITEM_RED_SHARD,200,100,0,0,30,0,FALSE,FALSE,0,0,,
73,ITEM_BLUE_SHARD,200,100,0,0,30,0,FALSE,FALSE,0,0,,
74,ITEM_YELLOW_SHARD,200,100,0,0,30,0,FALSE,FALSE,0,0,,
75,ITEM_GREEN_SHARD,200,100,0,0,30,0,FALSE,FALSE,0,0,,
76,ITEM_SUPER_REPEL,500,250,0,200,30,0,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 3 badges),
77,ITEM_MAX_REPEL,700,350,0,250,30,0,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 5 badges),
78,ITEM_ESCAPE_ROPE,550,275,0,0,30,0,FALSE,FALSE,21,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 1 badge),
79,ITEM_REPEL,350,175,0,100,30,0,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | RADE F2 LIBRY (H#0372) [Mt Moon Square] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | D02FS0101 (H#0518) [Mt Moon Square] | Badge Mart (unlocks at 1 badge),
80,ITEM_SUN_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
81,ITEM_MOON_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
82,ITEM_FIRE_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
83,ITEM_THUNDER_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
84,ITEM_WATER_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
85,ITEM_LEAF_STONE,3000,1500,0,0,30,0,FALSE,FALSE,20,0,,
86,ITEM_TINY_MUSHROOM,1000,500,0,0,30,0,FALSE,FALSE,0,0,,
87,ITEM_BIG_MUSHROOM,10000,5000,0,0,30,0,FALSE,FALSE,0,0,,
88,ITEM_PEARL,4000,2000,0,0,30,0,FALSE,FALSE,0,0,,
89,ITEM_BIG_PEARL,16000,8000,0,0,30,0,FALSE,FALSE,0,0,,
90,ITEM_STARDUST,6000,3000,0,0,30,0,FALSE,FALSE,0,0,,
91,ITEM_STAR_PIECE,24000,12000,0,0,30,0,FALSE,FALSE,0,0,,
