Item_ID,Item_Name,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,ATK_Stages,DEF_Stages,SpATK_Stages,SpDEF_Stages,Speed_Stages,Accuracy_Stages,CritRate_Stages,Guard_Spec,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
55,ITEM_GUARD_SPEC,1500,750,0,0,0,0,0,0,0,0,0,TRUE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
56,ITEM_DIRE_HIT,1000,500,0,0,0,0,0,0,0,0,1,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
57,ITEM_X_ATTACK,1000,500,0,0,1,0,0,0,0,0,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
58,ITEM_X_DEFENSE,2000,1000,0,0,0,1,0,0,0,0,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
59,ITEM_X_SPEED,1000,500,0,0,0,0,0,0,1,0,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
60,ITEM_X_ACCURACY,1000,500,0,0,0,0,0,0,0,1,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
61,ITEM_X_SP_ATK,1000,500,0,0,0,0,1,0,0,0,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
62,ITEM_X_SP_DEF,2000,1000,0,0,0,0,0,1,0,0,0,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
63,ITEM_POKE_DOLL,300,150,0,0,0,0,0,0,0,0,0,FALSE,0,3,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | RADE F2 LIBRY (H#0372) [Mt Moon Square] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | D02FS0101 (H#0518) [Mt Moon Square],
64,ITEM_FLUFFY_TAIL,1000,500,0,0,0,0,0,0,0,0,0,FALSE,0,3,,
65,ITEM_BLUE_FLUTE,100,50,0,0,0,0,0,0,0,0,0,FALSE,0,0,,
66,ITEM_YELLOW_FLUTE,200,100,0,0,0,0,0,0,0,0,0,FALSE,0,0,,
67,ITEM_RED_FLUTE,300,150,0,0,0,0,0,0,0,0,0,FALSE,0,0,,
