Item_ID,Item_Name,Price,Sell_Price,Field_Use_Func,Prevent_Toss,Shop_Locations,Given_At_Locations
113,ITEM_TEA,0,0,0,TRUE,,
115,ITEM_AUTOGRAPH,0,0,0,TRUE,,
429,ITEM_LOOT_SACK,0,0,0,TRUE,,
430,ITEM_RULE_BOOK,0,0,0,TRUE,,
431,ITEM_POKE_RADAR,0,0,11,TRUE,,
432,ITEM_POINT_CARD,0,0,19,TRUE,,
433,ITEM_GUIDEBOOK,0,0,5,TRUE,,
434,ITEM_SEAL_CASE,0,0,19,TRUE,,
435,ITEM_FASHION_CASE,0,0,19,TRUE,,
436,ITEM_STICKER_BAG,0,0,0,TRUE,,
437,ITEM_PAL_PAD,0,0,10,TRUE,,
438,ITEM_WORKS_KEY,0,0,0,TRUE,,
439,ITEM_OLD_CHARM,0,0,0,TRUE,,
440,ITEM_GALACTIC_KEY,0,0,0,TRUE,,
441,ITEM_RED_CHAIN,0,0,0,TRUE,,
442,ITEM_TOWN_MAP,0,0,2,TRUE,,
443,ITEM_VS_SEEKER,0,0,15,TRUE,,
444,ITEM_COIN_CASE,0,0,19,TRUE,,MELT 05 GAME1 (H#0112) | MELT 06 GAME2 (H#0113) | T25SP0101 (H#0536) | T07SP0101 (H#0537)
445,ITEM_OLD_ROD,0,0,16,TRUE,,SYDT 02 PC05 (H#0165)
446,ITEM_GOOD_ROD,0,0,17,TRUE,,BAIR 07 HS21 (H#0257)
447,ITEM_SUPER_ROD,0,0,18,TRUE,,HOME 57 SROD (H#0531)
448,ITEM_SPRAYDUCK,0,0,12,TRUE,,
449,ITEM_POFFIN_CASE,0,0,9,TRUE,,
450,ITEM_BIKE,0,0,4,TRUE,,MELT 08 BIKE (H#0115)
451,ITEM_SUITE_KEY,0,0,0,TRUE,,
452,ITEM_OAKS_LETTER,0,0,0,TRUE,,
453,ITEM_LUNAR_FEATHER,0,0,0,TRUE,,
454,ITEM_MEMBER_CARD,0,0,0,TRUE,,
455,ITEM_AZURE_FLUTE,0,0,22,TRUE,,
456,ITEM_SS_TICKET,0,0,0,TRUE,,MAUN 09 LAB01 (H#0019)
457,ITEM_CONTEST_PASS,0,0,0,TRUE,,
458,ITEM_MAGMA_STONE,0,0,0,TRUE,,
459,ITEM_PARCEL,0,0,0,TRUE,,
460,ITEM_COUPON_1,0,0,0,TRUE,,
461,ITEM_COUPON_2,0,0,0,TRUE,,
462,ITEM_COUPON_3,0,0,0,TRUE,,
463,ITEM_STORAGE_KEY_SINNOH,0,0,0,TRUE,,
464,ITEM_SECRET_MEDICINE,0,0,0,TRUE,,SHED 05 HS23 (H#0284)
465,ITEM_VS_RECORDER,0,0,29,TRUE,,MELT 13 GH01 (H#0128)
466,ITEM_GRACIDEA,0,0,28,TRUE,,
467,ITEM_SECRET_KEY,0,0,0,TRUE,,
468,ITEM_APRICORN_BOX,0,0,23,TRUE,,LOBA 05 HS09 (H#0079) | RT 13 AREA 1 (H#0317) | RT 13 AREA 2 (H#0318) | RT 13 AREA 3 (H#0319) | RT 13 AREA 4 (H#0320) | RT 13 AREA 5 (H#0321) | RT 13 AREA 6 (H#0322) | RT 13 AREA 7 (H#0323)
469,ITEM_UNOWN_REPORT,0,0,25,TRUE,,VICTRY RD 2 5 (H#0505)
