Item_ID,Item_Name,Price,Sell_Price,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
328,ITEM_TM001,1600,800,6,0,,
329,ITEM_TM002,1600,800,6,0,,
330,ITEM_TM003,1600,800,6,0,,SYDT 04 GYM04 (H#0167)
331,ITEM_TM004,3200,1600,6,0,,
332,ITEM_TM005,800,400,6,0,,
333,ITEM_TM006,1600,800,6,0,,
334,ITEM_TM007,1600,800,6,0,,SEWER ROOM 01 (H#0378)
335,ITEM_TM008,3200,1600,6,0,,MELT 04 GYM02 (H#0111)
336,ITEM_TM009,3200,1600,6,0,,DANB 05 GYM03 (H#0141)
337,ITEM_TM010,3200,1600,6,0,,DALI 09 HS29 (H#0308)
338,ITEM_TM011,6000,3000,6,0,,A HQ1 F3 (H#0063) | A HQ1 F3 (H#0181) | D HQ1 F3 (H#0187) | BAIR 04 GYM05 (H#0254)
339,ITEM_TM012,1600,800,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],SYDT 06 GV06 (H#0241)
340,ITEM_TM013,3200,1600,6,0,,
341,ITEM_TM014,12000,6000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
342,ITEM_TM015,1600,800,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
343,ITEM_TM016,3200,1600,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
344,ITEM_TM017,1600,800,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
345,ITEM_TM018,12000,6000,6,0,,
346,ITEM_TM019,800,400,6,0,,DANB 05 GYM03 (H#0141)
347,ITEM_TM020,3200,1600,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
348,ITEM_TM021,3200,1600,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
349,ITEM_TM022,12000,6000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
350,ITEM_TM023,3200,1600,6,0,,SEWER AREA 01 (H#0375) | SEWER AREA 02 (H#0376) | SEWER AREA 03 (H#0377)
351,ITEM_TM024,3200,1600,6,0,,
352,ITEM_TM025,20000,10000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
353,ITEM_TM026,3200,1600,6,0,,
354,ITEM_TM027,3200,1600,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],LOBA 04 GYM01 (H#0060)
355,ITEM_TM028,6000,3000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
356,ITEM_TM029,12000,6000,6,0,,TROO 08 HS38 (H#0417)
357,ITEM_TM030,3200,1600,6,0,,TROO 05 GYM08 (H#0414)
358,ITEM_TM031,1600,800,6,0,,
359,ITEM_TM032,800,400,6,0,,
360,ITEM_TM033,6000,3000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
361,ITEM_TM034,3200,1600,6,0,,DALI 04 GYM06 (H#0303)
362,ITEM_TM035,3200,1600,6,0,,
363,ITEM_TM036,6000,3000,6,0,,
364,ITEM_TM037,3200,1600,6,0,,HOTEL 2 HS33 (H#0365)
365,ITEM_TM038,3200,1600,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
366,ITEM_TM039,12000,6000,6,0,,
367,ITEM_TM040,1600,800,6,0,,RADE 05 GYM07 (H#0360)
368,ITEM_TM041,3200,1600,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
369,ITEM_TM042,1600,800,6,0,,
370,ITEM_TM043,12000,6000,6,0,,
371,ITEM_TM044,6000,3000,6,0,,ULURU 3 A1 (H#0324) | ULURU 3 A2 (H#0325)
372,ITEM_TM045,12000,6000,6,0,,
373,ITEM_TM046,6000,3000,6,0,,
374,ITEM_TM047,800,400,6,0,,DALI 10 HS54 (H#0311)
375,ITEM_TM048,12000,6000,6,0,,
376,ITEM_TM049,12000,6000,6,0,,
377,ITEM_TM050,12000,6000,6,0,,D HQ1 F4 (H#0070) | BAIR 04 GYM05 (H#0254) | D11R0106 (H#0457)
378,ITEM_TM051,12000,6000,6,0,,
379,ITEM_TM052,12000,6000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
380,ITEM_TM053,12000,6000,6,0,,
381,ITEM_TM054,20000,10000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
382,ITEM_TM055,20000,10000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],SYDT 04 GYM04 (H#0167)
383,ITEM_TM056,12000,6000,6,0,,
384,ITEM_TM057,1600,800,6,0,,DALI 04 GYM06 (H#0303) | R10R0202 (H#0489)
385,ITEM_TM058,20000,10000,6,0,,
386,ITEM_TM059,20000,10000,6,0,,REGIELECT DEN (H#0133) | DRAGON DEN 01 (H#0297)
387,ITEM_TM060,12000,6000,6,0,,MELT 04 GYM02 (H#0111)
388,ITEM_TM061,12000,6000,6,0,,
389,ITEM_TM062,12000,6000,6,0,,
390,ITEM_TM063,40000,20000,6,0,,
391,ITEM_TM064,12000,6000,6,0,,
392,ITEM_TM065,20000,10000,6,0,,DEPART 1 F6 (H#0173)
393,ITEM_TM066,20000,10000,6,0,,
394,ITEM_TM067,20000,10000,6,0,,
395,ITEM_TM068,20000,10000,6,0,,
396,ITEM_TM069,20000,10000,6,0,,
397,ITEM_TM070,1600,800,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
398,ITEM_TM071,32000,16000,6,0,,
399,ITEM_TM072,20000,10000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
400,ITEM_TM073,32000,16000,6,0,,
401,ITEM_TM074,3200,1600,6,0,,
402,ITEM_TM075,3200,1600,6,0,,LOBA 04 GYM01 (H#0060)
403,ITEM_TM076,12000,6000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
404,ITEM_TM077,32000,16000,6,0,,
405,ITEM_TM078,32000,16000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
406,ITEM_TM079,32000,16000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
