Water?,Headers,#,Area,20%,20%,10%,10%,10%,10%,5%,5%,4%,4%,1%,1%,Level,Typing,Completed,Time
Ocean,"10, 22",0.0,ROUTE 1,BUNNELBY,WOOLOO,SENTRET,SKWOVET,YUNGOOS,SLAKOTH,PATRAT,SLAKOTH,LILLIPUP,LILLIPUP,SLAKOTH,SLAKOTH,2,Plain,TRUE,Morn
,,0.1,ROUTE 1,BIDOOF,SENTRET,PATRAT,SKWOVET,LILLIPUP,ZIGZAGOON,WOOLOO,RATTATA,LILLIPUP,LILLIPUP,SLAKOTH,SLAKOTH,2,Plain,TRUE,Day
,,0.2,ROUTE 1,YUNGOOS,PATRAT,WOOLOO,SKWOVET,BUNNELBY,ZIGZAGOON_GALARIAN,BIDOOF,RATTATA,LILLIPUP,LILLIPUP,SLAKOTH,SLAKOTH,2,Plain,TRUE,Night
Lake,"27, 28",1.0,ROUTE 2 AREA 1 ,PANPOUR,SKITTY,STARLY,LOTAD,SLAKOTH,SLAKOTH,WOOPER,MINCCINO,CHEWTLE,STARLY,RALTS,RALTS,3,Plain,TRUE,Morn
,,1.1,ROUTE 2 AREA 1 ,PANPOUR,SKITTY,MINCCINO,LOTAD,PURRLOIN,POOCHYENA,WOOPER,STARLY,CHEWTLE,STARLY,RALTS,RALTS,3,Plain,TRUE,Day
,,1.2,ROUTE 2 AREA 1 ,PURRLOIN,POOCHYENA,CHEWTLE,LOTAD,WHISMUR,WHISMUR,WOOPER,MINCCINO,CHEWTLE,STARLY,RALTS,RALTS,3,Plain,TRUE,Night
Lake,"29, 30",2.0,ROUTE 2 AREA 2,ZIGZAGOON,TAILLOW,AZURILL,ROOKIDEE,ROOKIDEE,PIDOVE,SURSKIT,FOMANTIS,MILCERY,PIDGEY,ABRA,ABRA,4,Plain,TRUE,Morn
,,2.1,ROUTE 2 AREA 2,ZIGZAGOON,AZURILL,TAILLOW,PIDGEY,PIDGEY,ROOKIDEE,SURSKIT,FOMANTIS,NICKIT,PIDOVE,ABRA,ABRA,4,Plain,TRUE,Day
,,2.2,ROUTE 2 AREA 2,ZIGZAGOON_GALARIAN,RATTATA_ALOLAN,POOCHYENA,PIDOVE,PIDOVE,PIDGEY,SURSKIT,FOMANTIS,TAILLOW,ROOKIDEE,ABRA,ABRA,4,Plain,TRUE,Night
FALSE,TRUE,3.0,ROUTE 3 AREA 1,BUDEW,SPEAROW,SPEAROW,ROOKIDEE,CLEFFA,SEEDOT,LITLEO,LITLEO,APPLIN,FLETCHLING,LARVESTA,LARVESTA,3,Plain,TRUE,Morn
,,3.1,ROUTE 3 AREA 1,RATTATA,BUDEW,RATTATA_ALOLAN,PIDGEY,FLETCHLING,BUDEW,LITLEO,VULPIX,APPLIN,CLEFFA,LARVESTA,LARVESTA,3,Plain,TRUE,Day
,,3.2,ROUTE 3 AREA 1,RATTATA_ALOLAN,SPEAROW,RATTATA,PIDOVE,CLEFFA,SEEDOT,VULPIX,VULPIX,APPLIN,FLETCHLING,LARVESTA,LARVESTA,3,Plain,TRUE,Night
FALSE,TRUE,4.0,ROUTE 3 AREA 2,SUNKERN,HOOTHOOT,BOUNSWEET,PIKIPEK,MORELULL,PIKIPEK,HAPPINY,DODUO,MORELULL,MORELULL,DARUMAKA,DARUMAKA,4,Plain,TRUE,Morn
,,4.1,ROUTE 3 AREA 2,SUNKERN,BOUNSWEET,SUNKERN,MORELULL,MORELULL,PIKIPEK,HAPPINY,DODUO,MORELULL,SIZZLIPEDE,DARUMAKA,DARUMAKA,4,Plain,TRUE,Day
,,4.2,ROUTE 3 AREA 2,HOOTHOOT,HOOTHOOT,BOUNSWEET,DODUO,MORELULL,PIKIPEK,HAPPINY,STARLY,SIZZLIPEDE,SIZZLIPEDE,DARUMAKA,DARUMAKA,4,Plain,TRUE,Night
Cave Lake,TRUE,5.0,NAVEL West,BONSLY,MANKEY,GEODUDE,ROLYCOLY,ROLYCOLY,WHISMUR,ROGGENROLA,GEODUDE_ALOLAN,NOIBAT,NOIBAT,GEODUDE_ALOLAN,GEODUDE_ALOLAN,5,Cave,TRUE,Morn
,,5.1,NAVEL Generic,SANDSHREW,GEODUDE,WHISMUR,ROGGENROLA,ROLYCOLY,MANKEY,GEODUDE_ALOLAN,GEODUDE_ALOLAN,NOIBAT,GEODUDE_ALOLAN,GEODUDE_ALOLAN,GEODUDE_ALOLAN,5,Cave,TRUE,Day
,,5.2,NAVEL Generic,ZUBAT,WHISMUR,GASTLY,ROGGENROLA,ROGGENROLA,GASTLY,ROLYCOLY,GEODUDE_ALOLAN,NOIBAT,NOIBAT,GEODUDE_ALOLAN,GEODUDE_ALOLAN,5,Cave,TRUE,Night
Cave Lake,TRUE,6.0,NAVEL West,GEODUDE,MAKUHITA,MACHOP,ARON,ARON,CHINGLING,BRONZOR,MACHOP,SANDILE,SANDILE,SANDILE,ROCKRUFF,5,Cave,TRUE,Morn
,,6.1,NAVEL West,DIGLETT,MAKUHITA,CHINGLING,BRONZOR,ARON,MAKUHITA,MACHOP,MACHOP,SANDILE,ROCKRUFF,ROCKRUFF,ROCKRUFF,5,Cave,TRUE,Day
,,6.2,NAVEL West,ZUBAT,CHINGLING,DUSKULL,BRONZOR,BRONZOR,DUSKULL,BRONZOR,MACHOP,SANDILE,SANDILE,SANDILE,ROCKRUFF,5,Cave,TRUE,Night
Cave Lake,TRUE,7.0,NAVEL East,GEODUDE,TYROGUE,TIMBURR,MEDITITE,MEDITITE,ZUBAT,KLINK,TIMBURR,TRAPINCH,TRAPINCH,TRAPINCH,GROWLITHE_HISUIAN,5,Cave,TRUE,Morn
,,7.1,NAVEL East,DIGLETT_ALOLAN,TYROGUE,ZUBAT,KLINK,MEDITITE,TYROGUE,TIMBURR,TIMBURR,TRAPINCH,GROWLITHE_HISUIAN,GROWLITHE_HISUIAN,GROWLITHE_HISUIAN,5,Cave,TRUE,Day
,,7.2,NAVEL East,ZUBAT,GEODUDE,LITWICK,KLINK,KLINK,LITWICK,MEDITITE,TIMBURR,TRAPINCH,TRAPINCH,TRAPINCH,GROWLITHE_HISUIAN,5,Cave,TRUE,Night
Lake,TRUE,8.0,BLAZE FOREST,PANSEAR,HAPPINY,HOPPIP,VULPIX,LITLEO,LITLEO,NUMEL,HOPPIP,SIZZLIPEDE,SALANDIT,SIZZLIPEDE,GROWLITHE,5,Fire,TRUE,Morn
,,8.1,BLAZE FOREST,PANSEAR,HOPPIP,HAPPINY,VULPIX,SLUGMA,SLUGMA,HOPPIP,FLETCHLING,VULPIX,GROWLITHE,GROWLITHE,GROWLITHE,5,Fire,TRUE,Day
,,8.2,BLAZE FOREST,NATU,SALANDIT,CLEFFA,SALANDIT,CLEFFA,FLETCHLING,NUMEL,VULPIX,SIZZLIPEDE,SIZZLIPEDE,SIZZLIPEDE,GROWLITHE,5,Fire,TRUE,Night
