event_file,maps,index,type,script,dir,x_map,x_matrix,y_map,y_matrix,z
0004,D17R1101(H6),0,HIDDENITEM,8125,4,1,1,10,0,0
0004,D17R1101(H6),1,HIDDENITEM,8126,4,7,1,20,0,0
0004,D17R1101(H6),2,HIDDENITEM,8128,4,14,0,7,0,0
0004,D17R1101(H6),3,HIDDENITEM,8127,4,23,0,7,0,0
0004,D17R1101(H6),4,HIDDENITEM,8129,4,17,0,7,0,0
0005,D18R0101(H7); BURNT TWR F1(H268),0,HIDDENITEM,8020,4,8,0,24,0,0
0005,D18R0101(H7); BURNT TWR F1(H268),1,HIDDENITEM,8019,4,11,0,6,0,0
0006,R01(H9); RT 1 AREA 1(H22),0,BOARD,3,4,16,30,22,37,0
0007,RT 2 AREA 1(H30); RT 2 AREA 2(H31),0,BOARD,1,4,12,29,25,36,0
0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),0,HIDDENITEM,8197,4,10,44,23,5,0
0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),1,BOARD,6,4,13,44,25,5,0
0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),2,BOARD,7,4,14,44,4,5,0
0021,RT 12 AREA 1(H240); RT 12 AREA 2(H261); RT 12 AREA 3(H262),0,BOARD,2,4,12,35,27,8,0
0024,-(H264),0,BOARD,3,4,10,29,8,8,0
0026,-(H263),0,BOARD,3,4,29,43,6,1,0
0026,-(H263),1,HIDDENITEM,8107,4,15,41,9,1,0
0034,PRIMAL CAVE 1(H335); -(H336); -(H337),0,BOARD,2,4,18,14,16,14,0
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),0,BOARD,6,4,25,11,11,7,0
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),1,BOARD,5,4,11,13,24,7,0
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),2,BOARD,4,4,25,13,20,7,0
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),3,BOARD,7,4,10,12,31,6,0
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),4,HIDDENITEM,8011,4,7,12,19,7,0
0038,SPEAR PLR 1(H348); SPEAR PLR 2(H349),0,BOARD,3,4,4,12,6,6,0
0038,SPEAR PLR 1(H348); SPEAR PLR 2(H349),1,BOARD,4,4,10,12,31,6,0
0042,D HQ1 F2(H68),0,MISC,3,0,15,0,12,0,0
0042,D HQ1 F2(H68),1,MISC,2,0,21,0,4,0,0
0042,D HQ1 F2(H68),2,MISC,1,0,8,0,4,0,0
0042,D HQ1 F2(H68),3,MISC,3,0,15,2,12,0,0
0042,D HQ1 F2(H68),4,MISC,2,0,21,2,4,0,0
