event_file,maps,index,ow_id,overlay_entry,type,movement,flag,script,orientation,sight_range,x_range,y_range,x_map,x_matrix,y_map,y_matrix,z
0001,UNION(H2),0,0,337,NORMAL,0,0x0000,8,1,0,0,0,3,0,3,0,0
0001,UNION(H2),1,1,3,NORMAL,0,0x0000,4,1,0,0,0,3,0,12,0,0
0001,UNION(H2),2,2,3,NORMAL,0,0x0000,4,1,0,0,0,11,0,9,0,0
0001,UNION(H2),3,3,3,NORMAL,0,0x0000,4,1,0,0,0,5,0,9,0,0
0001,UNION(H2),4,4,37,NORMAL,0,0x0000,4,1,0,0,0,14,0,6,0,0
0001,UNION(H2),5,5,31,NORMAL,0,0x0000,4,1,0,0,0,6,0,4,0,0
0001,UNION(H2),6,6,3,NORMAL,0,0x0000,4,1,0,0,0,13,0,12,0,0
0001,UNION(H2),7,7,3,NORMAL,0,0x0000,4,1,0,0,0,2,0,6,0,0
0001,UNION(H2),8,8,6,NORMAL,0,0x0000,4,1,0,0,0,10,0,4,0,0
0001,UNION(H2),9,9,3,NORMAL,0,0x0000,4,1,0,0,0,8,0,7,0,0
0001,UNION(H2),10,10,3,NORMAL,0,0x0000,4,1,0,0,0,8,0,11,0,0
0001,UNION(H2),11,11,3,NORMAL,0,0x0000,7,2,0,0,0,4,0,12,0,0
0001,UNION(H2),12,12,3,NORMAL,0,0x0000,7,0,0,0,0,3,0,13,0,0
0001,UNION(H2),13,13,3,NORMAL,0,0x0000,7,3,0,0,0,2,0,12,0,0
0001,UNION(H2),14,14,3,NORMAL,0,0x0000,7,1,0,0,0,3,0,11,0,0
0001,UNION(H2),15,15,3,NORMAL,0,0x0000,7,2,0,0,0,12,0,9,0,0
0001,UNION(H2),16,16,3,NORMAL,0,0x0000,7,0,0,0,0,11,0,10,0,0
0001,UNION(H2),17,17,3,NORMAL,0,0x0000,7,3,0,0,0,10,0,9,0,0
0001,UNION(H2),18,18,3,NORMAL,0,0x0000,7,1,0,0,0,11,0,8,0,0
0001,UNION(H2),19,19,3,NORMAL,0,0x0000,7,2,0,0,0,6,0,9,0,0
0001,UNION(H2),20,20,3,NORMAL,0,0x0000,7,0,0,0,0,5,0,10,0,0
0001,UNION(H2),21,21,3,NORMAL,0,0x0000,7,3,0,0,0,4,0,9,0,0
0001,UNION(H2),22,22,3,NORMAL,0,0x0000,7,1,0,0,0,5,0,8,0,0
0001,UNION(H2),23,23,14,NORMAL,0,0x0000,7,2,0,0,0,15,0,6,0,0
0001,UNION(H2),24,24,42,NORMAL,0,0x0000,7,0,0,0,0,14,0,7,0,0
0001,UNION(H2),25,25,63,NORMAL,0,0x0000,7,3,0,0,0,13,0,6,0,0
0001,UNION(H2),26,26,35,NORMAL,0,0x0000,7,1,0,0,0,14,0,5,0,0
0001,UNION(H2),27,27,5,NORMAL,0,0x0000,7,2,0,0,0,7,0,4,0,0
0001,UNION(H2),28,28,50,NORMAL,0,0x0000,7,0,0,0,0,6,0,5,0,0
0001,UNION(H2),29,29,51,NORMAL,0,0x0000,7,3,0,0,0,5,0,4,0,0
0001,UNION(H2),30,30,11,NORMAL,0,0x0000,7,1,0,0,0,6,0,3,0,0
0001,UNION(H2),31,31,3,NORMAL,0,0x0000,7,2,0,0,0,14,0,12,0,0
0001,UNION(H2),32,32,3,NORMAL,0,0x0000,7,0,0,0,0,13,0,13,0,0
0001,UNION(H2),33,33,3,NORMAL,0,0x0000,7,3,0,0,0,12,0,12,0,0
0001,UNION(H2),34,34,3,NORMAL,0,0x0000,7,1,0,0,0,13,0,11,0,0
0001,UNION(H2),35,35,3,NORMAL,0,0x0000,7,2,0,0,0,3,0,6,0,0
0001,UNION(H2),36,36,3,NORMAL,0,0x0000,7,0,0,0,0,2,0,7,0,0
0001,UNION(H2),37,37,3,NORMAL,0,0x0000,7,3,0,0,0,1,0,6,0,0
0001,UNION(H2),38,38,3,NORMAL,0,0x0000,7,1,0,0,0,2,0,5,0,0
0001,UNION(H2),39,39,62,NORMAL,0,0x0000,7,2,0,0,0,11,0,4,0,0
0001,UNION(H2),40,40,7,NORMAL,0,0x0000,7,0,0,0,0,10,0,5,0,0
0001,UNION(H2),41,41,13,NORMAL,0,0x0000,7,3,0,0,0,9,0,4,0,0
0001,UNION(H2),42,42,70,NORMAL,0,0x0000,7,1,0,0,0,10,0,3,0,0
0001,UNION(H2),43,43,3,NORMAL,0,0x0000,7,2,0,0,0,9,0,7,0,0
0001,UNION(H2),44,44,3,NORMAL,0,0x0000,7,0,0,0,0,8,0,8,0,0
0001,UNION(H2),45,45,3,NORMAL,0,0x0000,7,3,0,0,0,7,0,7,0,0
0001,UNION(H2),46,46,3,NORMAL,0,0x0000,7,1,0,0,0,8,0,6,0,0
0001,UNION(H2),47,47,3,NORMAL,0,0x0000,7,2,0,0,0,9,0,11,0,0
0001,UNION(H2),48,48,3,NORMAL,0,0x0000,7,0,0,0,0,8,0,12,0,0
0001,UNION(H2),49,49,3,NORMAL,0,0x0000,7,3,0,0,0,7,0,11,0,0
0001,UNION(H2),50,50,3,NORMAL,0,0x0000,7,1,0,0,0,8,0,10,0,0
0002,DIRECT2(H4),0,0,337,NORMAL,16,0x0000,9100,2,0,0,0,12,0,4,0,0
0003,DIRECT4(H5),0,0,337,NORMAL,16,0x0000,9100,2,0,0,0,12,0,4,0,0
