event_file,maps,index,script,var_watched,expected_val,width,height,z,x_map,x_matrix,y_map,y_matrix
0002,DIRECT2(H4),0,9101,0x400F,0,2,1,0,7,0,11,0
0005,D18R0101(H7); BURNT TWR F1(H268),0,1,0x40A2,0,1,1,0,19,0,23,0
0005,D18R0101(H7); BURNT TWR F1(H268),1,4,0x40A6,0,1,1,0,22,0,19,0
0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),0,1,0x4084,0,1,1,0,15,44,24,5
0019,-(H75); ICE CAVE 02(H93),0,3,0x4086,1,4,7,0,14,42,25,12
0025,-(H265),0,4,0x4087,1,4,10,0,13,41,12,2
0026,-(H263),0,1,0x4088,1,1,3,0,10,44,8,1
0026,-(H263),1,5,0x4089,1,1,3,0,10,44,8,1
0058,MAUN 09 LAB01(H19),0,4,0x4108,1,4,1,0,3,0,11,0
0058,MAUN 09 LAB01(H19),1,12,0x4108,0,4,1,0,3,0,10,0
0077,TROO 05 GYM08(H414),0,3,0x4109,0,2,7,0,11,0,12,0
0077,TROO 05 GYM08(H414),1,3,0x4109,0,1,9,0,9,0,12,0
0077,TROO 05 GYM08(H414),2,3,0x4109,0,2,8,0,9,0,21,0
0077,TROO 05 GYM08(H414),3,3,0x4109,0,1,1,0,8,0,29,0
0077,TROO 05 GYM08(H414),4,3,0x4109,0,3,1,0,9,0,30,0
0077,TROO 05 GYM08(H414),5,3,0x4109,0,3,1,0,12,0,31,0
0077,TROO 05 GYM08(H414),6,3,0x4109,0,4,8,0,15,0,30,0
0077,TROO 05 GYM08(H414),7,3,0x4109,0,3,11,0,13,0,6,1
0077,TROO 05 GYM08(H414),8,3,0x4109,0,2,1,0,12,0,19,0
0077,TROO 05 GYM08(H414),9,3,0x4109,0,1,2,0,12,0,21,0
0077,TROO 05 GYM08(H414),10,3,0x4109,0,1,4,0,14,0,20,0
0077,TROO 05 GYM08(H414),11,3,0x4109,0,9,5,0,12,0,24,0
0077,TROO 05 GYM08(H414),12,3,0x4109,0,1,3,0,21,0,29,0
0077,TROO 05 GYM08(H414),13,3,0x4109,0,1,8,0,20,0,0,1
0077,TROO 05 GYM08(H414),14,3,0x4109,0,3,9,0,17,0,8,1
0094,MELT 13 GH01(H128),0,1,0x4132,0,1,3,0,5,0,6,0
0099,,0,9,0x40DA,0,1,5,0,19,0,7,0
0106,ICE PATH C1(H291),0,5,0x4100,0,1,1,0,15,1,6,0
0108,HO-OH TWR F1(H44),0,2,0x40F3,0,3,1,0,7,0,12,0
0108,HO-OH TWR F1(H44),1,2,0x40F3,0,1,4,0,12,0,7,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),0,10,0x4077,3,1,1,0,23,0,5,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),1,10,0x4077,3,1,1,0,23,2,23,0
0125,,0,0,0x4001,1,1,1,0,8,0,14,0
0131,RADE 05 GYM07(H360),0,5,0x4000,0,1,1,0,15,0,20,0
0133,LOBA 04 GYM01(H60),0,2,0x410A,1,1,1,0,13,0,11,0
0137,BAIR 04 GYM05(H254),0,3,0x4111,0,1,1,0,5,0,9,0
0137,BAIR 04 GYM05(H254),1,3,0x4111,0,1,1,0,23,0,9,1
0137,BAIR 04 GYM05(H254),2,3,0x4111,0,1,1,0,3,0,30,1
0137,BAIR 04 GYM05(H254),3,5,0x4120,0,3,1,0,12,0,18,2
0151,MOLTEN CAVERN(H126),0,10,0,0,3,1,0,15,1,13,2
0172,,0,1,0x40C5,0,3,1,0,5,1,21,0
0172,,1,3,0x40C9,0,1,1,0,23,1,10,1
0172,,2,4,0x40C9,0,1,1,0,26,0,6,1
0172,,3,5,0x40C9,0,1,1,0,29,0,12,1
0172,,4,6,0x40C9,0,1,1,0,20,0,18,0
0172,,5,7,0x40C9,0,1,1,0,24,1,28,0
0173,,0,3,0x4000,0,1,1,0,3,0,0,1
0173,,1,4,0x4000,0,1,1,0,9,0,0,1
0173,,2,5,0x4000,0,1,1,0,15,0,0,1
0173,,3,6,0x4000,0,1,1,0,3,0,24,0
0173,,4,7,0x4000,0,1,1,0,9,0,24,0
0173,,5,8,0x4000,0,1,1,0,15,0,24,0
0173,,6,9,0x4000,0,1,1,0,3,0,17,0
0173,,7,10,0x4000,0,1,1,0,9,0,17,0
0173,,8,11,0x4000,0,1,1,0,15,0,17,0
0173,,9,12,0x4000,0,1,1,0,3,0,9,0
0173,,10,13,0x4000,0,1,1,0,9,0,9,0
0173,,11,14,0x4000,0,1,1,0,15,0,9,0
0190,,0,5,0x400A,2,2,3,0,4,0,3,0
0190,,1,3,0x400A,2,2,3,0,4,0,9,0
0190,,2,3,0x400A,2,3,3,0,6,0,11,0
0190,,3,4,0x400A,3,1,2,0,6,0,4,0
0190,,4,2,0x410B,0,1,1,0,6,0,6,0
0190,,5,4,0x400A,1,1,2,0,6,0,7,0
0192,,0,5,0x4077,2,1,7,0,15,0,7,0
0192,,1,12,0x40E7,2,1,2,0,16,0,31,0
0194,,0,5,0x40A0,0,1,1,0,19,0,5,0
0204,BURNT TWR F2(H269),0,1,0x40A1,0,1,2,0,20,0,16,0
0209,LIGHT H 01 F5(H216),0,1,0x40A3,0,1,1,0,16,0,9,0
0223,SANDSTONE COV(H105),0,10,0,0,1,3,0,6,3,13,1
0224,FLORAL FISURE(H127),0,10,0,0,1,3,0,25,2,15,1
0230,LUGIA DEN 01(H37),0,6,0x40FA,1,1,1,0,16,0,4,1
0233,,0,1,0x40AD,0,1,2,0,12,1,4,0
0233,,1,6,0x40AE,0,1,2,0,18,0,4,0
0233,,2,7,0x40AF,0,1,2,0,12,1,11,0
0233,,3,8,0x40B0,0,1,2,0,12,1,29,0
0233,,4,9,0x40B1,0,1,2,0,18,0,29,0
0233,,5,14,0x40B2,0,1,1,0,12,0,17,0
0233,,6,15,0x40B3,0,1,1,0,13,0,16,0
0233,,7,16,0x40B4,0,1,1,0,15,0,16,0
0233,,8,17,0x40B5,0,1,1,0,16,0,16,0
0233,,9,18,0x40B6,0,1,1,0,11,0,18,0
0233,,10,19,0x40B7,0,1,1,0,16,0,17,0
0233,,11,20,0x40B8,0,1,1,0,14,0,18,0
0233,,12,21,0x40B9,0,1,1,0,15,0,18,0
0233,,13,22,0x40BA,0,1,1,0,15,0,20,0
0233,,14,23,0x40BB,0,1,1,0,13,0,19,0
0233,,15,24,0x40BC,0,1,1,0,14,0,21,0
0233,,16,25,0x40BD,0,1,1,0,12,0,21,0
0233,,17,26,0x40BE,0,1,1,0,11,0,22,0
0233,,18,27,0x40BF,0,1,1,0,13,0,21,0
0233,,19,28,0x40C0,0,1,1,0,14,0,22,0
0233,,20,29,0x40C1,0,1,1,0,16,0,22,0
0233,,21,30,0x40C2,0,1,1,0,16,0,28,0
0234,,0,4,0x40AC,8,2,1,0,30,0,19,0
0234,,1,9,0x40AC,9,1,1,0,28,0,10,0
0234,,2,10,0x40AC,9,1,3,0,0,1,17,0
0234,,3,12,0x40AC,7,4,1,0,29,0,27,0
0234,,4,13,0x40A9,2,1,2,0,27,0,24,0
0234,,5,14,0x40AC,4,1,2,0,11,0,4,0
0234,,6,15,0x40AC,6,1,2,0,18,1,29,0
0235,,0,3,0x40AC,2,1,3,0,20,0,17,0
0235,,1,4,0x40AC,3,2,1,0,23,0,12,0
0235,,2,8,0x40AC,5,1,2,0,18,1,4,0
0239,REGIELECT DEN(H133),0,1,0x40C4,1,3,1,0,27,0,14,0
0239,REGIELECT DEN(H133),1,5,0x40FC,1,2,1,0,24,0,11,1
0243,,0,34,0x407D,0,1,2,0,22,0,2,1
0243,,1,35,0x407D,0,1,2,0,3,1,30,1
0243,,2,36,0x407D,0,1,2,0,29,1,30,1
0243,,3,37,0x407D,0,1,2,0,10,2,2,1
0251,,0,1,0x40DB,0,7,1,0,7,1,15,1
0270,,0,1,0x4110,0,1,1,0,11,0,16,0
0270,,1,3,0x4110,1,1,4,0,8,0,8,0
0270,,2,2,0x4121,0,1,4,0,14,0,8,0
0271,,0,7,0x4119,1,3,1,0,10,0,14,0
0276,,0,1,0x40C7,0,3,1,0,5,0,10,0
0278,BOAT 01(H96),0,5,0x40CB,0,5,1,0,22,0,14,0
0280,BOAT 03(H98),0,2,0x4112,0,1,1,0,16,0,4,0
0290,,0,3,0x40D9,0,1,1,0,20,0,21,0
0291,,0,3,0x40D2,0,1,1,0,19,0,11,0
0296,,0,1,0x40D0,0,1,1,0,6,0,3,0
0300,BOAT 07(H102),0,2,0x40CB,2,1,3,0,6,1,17,0
0311,HO-OH TWR TOP(H46),0,7,0x40FA,1,1,1,0,15,0,20,0
0357,,0,5,0x411D,0,1,1,0,14,0,7,0
0366,,0,4,0x4002,0,1,1,0,12,0,17,0
0367,,0,2,0x40E5,0,6,1,0,12,0,28,0
0376,BIKE GATE 01(H258),0,2,0x4129,0,5,1,0,3,0,7,0
0376,BIKE GATE 01(H258),1,3,0x412A,1,5,1,0,3,0,8,0
0378,BIKE GATE 02(H260),0,3,0x4129,0,5,1,0,3,0,7,0
0378,BIKE GATE 02(H260),1,4,0x412A,1,5,1,0,3,0,8,0
0404,D HQ1 F1(H67),0,10,0x4077,3,1,1,0,23,0,5,0
0404,D HQ1 F1(H67),1,10,0x4077,3,1,1,0,23,2,23,0
0424,MELT 07 FOSSI(H114); T03R0101(H471),0,17,0x4083,1,1,2,0,25,0,6,0
0441,R10R0202(H489),0,8,0x411B,1,1,1,0,14,0,16,0
0442,ICE PATH C2(H292); D24R0216(H490),0,1,0x40AA,0,1,1,0,11,0,10,0
0442,ICE PATH C2(H292); D24R0216(H490),1,2,0x40AA,0,1,1,0,10,0,18,0
0442,ICE PATH C2(H292); D24R0216(H490),2,3,0x40AA,0,1,1,0,18,0,7,0
0442,ICE PATH C2(H292); D24R0216(H490),3,4,0x40AA,0,1,1,0,19,0,19,0
0448,,0,4,0x4127,0,9,1,0,1,0,14,1
0451,,0,1,0x412E,3,1,1,0,7,0,4,0
0451,,1,2,0x412E,4,1,1,0,7,0,4,0
0474,D51R0201(H522),0,4,0x4104,1,1,1,0,20,0,15,0
0474,D51R0201(H522),1,5,0x4104,1,1,1,0,12,0,15,0
0474,D51R0201(H522),2,6,0x4104,1,1,1,0,16,0,8,0
