map_id,walkable,blocked,special
0000,263,609,152
0001,293,629,102
0002,627,258,139
0003,286,620,118
0004,358,580,86
0005,610,341,73
0006,508,344,172
0007,639,289,96
0008,390,503,131
0009,569,427,28
0010,550,323,151
0011,417,607,0
0012,64,960,0
0013,425,564,35
0014,182,701,141
0015,368,610,46
0016,643,339,42
0017,953,71,0
0018,335,677,12
0019,530,490,4
0020,179,823,22
0021,401,611,12
0022,1018,4,2
0023,392,510,122
0024,476,487,61
0025,1023,1,0
0026,362,615,47
0027,552,427,45
0028,1020,0,4
0029,645,297,82
0030,879,97,48
0031,425,444,155
0032,661,363,0
0033,696,328,0
0034,570,454,0
0035,239,768,17
0036,506,497,21
0037,815,209,0
0038,281,743,0
0039,360,621,43
0040,634,390,0
0041,914,110,0
0042,599,405,20
0043,387,621,16
0044,535,483,6
0045,338,678,8
0046,223,776,25
0047,273,715,36
0048,231,739,54
0049,180,806,38
0050,283,741,0
0051,534,490,0
0052,223,801,0
0053,340,684,0
0054,596,428,0
0055,345,679,0
0056,26,998,0
0057,370,654,0
0058,34,990,0
0059,492,527,5
0060,140,872,12
0061,1024,0,0
0062,479,545,0
0063,374,573,77
0064,244,708,72
0065,520,442,62
0066,44,933,47
0067,75,949,0
0068,414,398,212
0069,483,467,74
0070,141,621,262
0071,150,722,152
0072,176,708,140
0073,515,432,77
0074,231,586,207
0075,90,587,347
0076,238,565,221
0077,526,476,22
0078,264,321,439
0079,330,333,361
0080,220,579,225
0081,171,501,352
0082,239,730,55
0083,146,878,0
0084,146,762,116
0085,757,121,146
0086,349,456,219
0087,181,722,121
0088,290,644,90
0089,288,557,179
0090,211,753,60
0091,211,380,433
0092,94,306,624
0093,537,354,133
0094,182,434,408
0095,176,717,131
0096,458,320,246
0097,244,694,86
0098,134,380,510
0099,192,281,551
0100,344,498,182
0101,139,824,61
0102,505,350,169
0103,13,982,29
0104,186,810,28
0105,343,569,112
0106,511,312,201
0107,738,142,144
0108,236,743,45
0109,654,356,14
0110,430,449,145
0111,351,298,375
0112,562,221,241
0113,32,903,89
0114,416,587,21
0115,465,475,84
0116,330,597,97
0117,572,335,117
0118,886,62,76
0119,272,232,520
0120,222,719,83
0121,9,1003,12
0122,317,578,129
0123,360,229,435
0124,233,670,121
0125,96,713,215
0126,317,556,151
0127,1024,0,0
0128,373,314,337
0129,156,824,44
0130,256,650,118
0131,83,789,152
0132,751,125,148
0133,222,598,204
0134,169,772,83
0135,449,496,79
0136,531,314,179
0137,328,567,129
0138,221,723,80
0139,163,755,106
0140,1024,0,0
0141,611,243,170
0142,7,961,56
0143,283,568,173
0144,683,275,66
0145,761,193,70
0146,626,335,63
0147,718,282,24
0148,512,367,145
0149,857,167,0
0150,659,325,40
0151,717,265,42
0152,653,291,80
0153,732,234,58
0154,319,640,65
0155,902,122,0
0156,527,497,0
0157,677,339,8
0158,724,266,34
0159,149,809,66
0160,69,850,105
0161,116,791,117
0162,161,832,31
0163,349,567,108
0164,246,638,140
0165,865,159,0
0166,654,300,70
0167,393,622,9
0168,692,284,48
0169,256,754,14
0170,360,573,91
