HeaderId,ChangedColumns
10,Music Day;Music Night;MapSec;IsKanto
11,Music Day;Music Night;MapSec
12,Music Day;Music Night;MapSec
13,Music Day;Music Night;MapSec
14,Music Day;Music Night;MapSec
15,Music Day;Music Night;MapSec
16,Music Day;Music Night;MapSec
17,Music Day;Music Night;MapSec
18,Music Day;Music Night;MapSec
19,MapSec
20,Music Day;Music Night;MapSec
21,Music Day;Music Night;MapSec
22,MapSec
23,Music Day;Music Night;IsKanto
24,MapSec
25,MapSec
26,MapSec
27,Music Day;Music Night;Camera Angle;MapSec;RunningAllowed
28,Music Day;Music Night;Camera Angle;MapSec
29,Music Day;Music Night;Camera Angle;MapSec
30,AreaIcon;Music Day;Music Night;MapSec
31,AreaIcon;Music Day;Music Night;MapSec
32,Music Day;Music Night;MapSec
33,Music Day;Music Night;MapSec
34,Internal Name;Music Day;Music Night;MapSec
35,Internal Name;Music Day;Music Night;MapSec
36,Internal Name;Music Day;Music Night;MapSec
37,MapSec
38,MapSec
39,Music Day;Music Night;MapSec
40,Music Day;Music Night;MapSec
41,Music Day;Music Night;MapSec
42,Internal Name;Music Day;Music Night;MapSec
43,Internal Name;Music Day;Music Night;MapSec
44,MapSec
45,MapSec
46,MapSec
47,MapSec
48,MapSec
49,MapSec;IsKanto
50,MapSec;IsKanto
51,MapSec;IsKanto
52,MapSec;IsKanto
53,MapSec;IsKanto
54,MapSec;IsKanto
55,Internal Name;MapSec
56,IsKanto
57,MapSec
58,MapSec
59,MapSec
60,MapSec
61,Music Day;Music Night;MapSec
62,Music Day;Music Night;MapSec
63,Music Day;Music Night;MapSec
64,Music Day;Music Night;MapSec
65,Music Day;Music Night;MapSec
66,Music Day;Music Night;MapSec
67,Music Day;Music Night;MapSec
68,Music Day;Music Night;MapSec
69,Music Day;Music Night;MapSec
70,Music Day;Music Night;MapSec
71,Music Day;Music Night;MapSec
72,Music Day;Music Night;MapSec
74,Matrix;Script File;Level Script File;Event File;Text Archive;Wild File;Area Data;Texture File;Building File;AreaIcon;Music Day;Music Night;Camera Angle;MapSec;WorldMapX;WorldMapY;FlyAllowed;BikeAllowed;BattleBackground;Area_Unknown06;Area_Unknown08
75,Matrix;Script File;Level Script File;Event File;Text Archive;Area Data;Texture File;Building File;AreaIcon;Music Day;Music Night;Camera Angle;MapSec;WorldMapX;WorldMapY;FlyAllowed;BikeAllowed;BattleBackground;Area_Unknown08
76,MapSec
77,MapSec
78,Music Day;Music Night;MapSec
79,MapSec
80,MapSec
81,MapSec
82,MapSec
83,Music Day;Music Night;MapSec
84,Internal Name;Music Day;Music Night;MapSec
85,Internal Name;MapSec
86,AreaIcon;MapSec
87,AreaIcon;MapSec
88,AreaIcon;MapSec
89,MapSec
90,Internal Name;MapSec
91,Internal Name;Matrix;Script File;Level Script File;Event File;Text Archive;Wild File;Area Data;Texture File;Building File;MapSec;Area_Unknown06;Area_Unknown08
