Pokemon,Move,Method,Level
ABOMASNOW,ICE_PUNCH,level-up,
ABOMASNOW,ICE_PUNCH,level-up,1
ABOMASNOW,AURORA_VEIL,level-up,1
ABOMASNOW,POWDER_SNOW,level-up,1
ABOMASNOW,LEER,level-up,1
ABOMASNOW,LEAFAGE,level-up,1
ABOMASNOW,MIST,level-up,1
ABOMASNOW,RAZOR_LEAF,level-up,1
ABOMASNOW,ICY_WIND,level-up,1
ABOMASNOW,RAZOR_LEAF,level-up,13
ABOMASNOW,GRASS_WHISTLE,level-up,13
ABOMASNOW,ICY_WIND,level-up,17
ABOMASNOW,ICE_SHARD,level-up,20
ABOMASNOW,MIST,level-up,21
ABOMASNOW,SWAGGER,level-up,23
ABOMASNOW,INGRAIN,level-up,33
ABOMASNOW,WOOD_HAMMER,level-up,39
ABOMASNOW,BLIZZARD,level-up,48
ABOMASNOW,SHEER_COLD,level-up,56
ABOMASNOW,FOCUS_PUNCH,tm,
ABOMASNOW,WATER_PULSE,tm,
ABOMASNOW,TOXIC,tm,
ABOMASNOW,HAIL,tm,
ABOMASNOW,BULLET_SEED,tm,
ABOMASNOW,HIDDEN_POWER,tm,
ABOMASNOW,ICE_BEAM,tm,
ABOMASNOW,BLIZZARD,tm,
ABOMASNOW,HYPER_BEAM,tm,
ABOMASNOW,PROTECT,tm,
ABOMASNOW,RAIN_DANCE,tm,
ABOMASNOW,GIGA_DRAIN,tm,
ABOMASNOW,SAFEGUARD,tm,
ABOMASNOW,FRUSTRATION,tm,
ABOMASNOW,SOLAR_BEAM,tm,
ABOMASNOW,IRON_TAIL,tm,
ABOMASNOW,EARTHQUAKE,tm,
ABOMASNOW,RETURN,tm,
ABOMASNOW,BRICK_BREAK,tm,
ABOMASNOW,DOUBLE_TEAM,tm,
ABOMASNOW,ROCK_TOMB,tm,
ABOMASNOW,FACADE,tm,
ABOMASNOW,SECRET_POWER,tm,
ABOMASNOW,REST,tm,
ABOMASNOW,ATTRACT,tm,
ABOMASNOW,FOCUS_BLAST,tm,
ABOMASNOW,ENERGY_BALL,tm,
ABOMASNOW,FLING,tm,
ABOMASNOW,ENDURE,tm,
ABOMASNOW,GIGA_IMPACT,tm,
ABOMASNOW,FLASH,tm,
ABOMASNOW,AVALANCHE,tm,
ABOMASNOW,SWORDS_DANCE,tm,
ABOMASNOW,CAPTIVATE,tm,
ABOMASNOW,ROCK_SLIDE,tm,
ABOMASNOW,SLEEP_TALK,tm,
ABOMASNOW,NATURAL_GIFT,tm,
